# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-03-04 07:44:32
# API-Download für Covid19-Fälle in SK Erlangen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,,,,,,1,,,,,
2020-KW10,,,,1,,,,,,2,,,,,,,,
2020-KW11,,,1,,1,3,,,1,,1,,,,,,,
2020-KW12,,,1,,3,3,,4,2,2,2,1,,,,1,,
2020-KW13,,,2,,4,4,7,4,4,2,3,2,2,1,,1,2,
2020-KW14,1,2,,1,4,10,6,7,10,2,10,4,1,4,1,2,1,
2020-KW15,2,1,,,3,2,4,1,5,,1,2,1,6,1,2,6,
2020-KW16,,,,,,7,2,4,1,5,3,2,6,,,,10,
2020-KW17,,,,,3,2,2,1,,,1,2,,,,1,2,
2020-KW18,2,2,1,1,2,2,2,,,,,1,,,,,2,
2020-KW19,1,,,1,,,1,1,1,,,,,,,1,1,
2020-KW20,,,,,,,,,,,,,,,,,1,
2020-KW21,,,,,1,3,1,,,,,1,,,,,,
2020-KW22,,,,,,,,,,1,,,,,,,,
2020-KW23,,,,,,1,,,,,,,,,,,,
2020-KW25,,,,,,,,1,,,,,,,,,,
2020-KW27,,,,,1,,,,,,1,,,,,,,
2020-KW28,,1,,,,,,1,,,1,,,,,,,
2020-KW31,,,,2,1,,1,,3,1,,,,,,,,
2020-KW32,1,,1,1,1,1,,,,,2,1,,,,,,
2020-KW33,,,,,2,,2,1,,2,,1,1,,,,,
2020-KW34,1,,1,,1,2,1,2,1,1,,,,,,,,
2020-KW35,,,1,,4,4,,1,2,2,,,,,,,,
2020-KW36,,1,,3,4,2,,1,1,1,2,1,,,,,1,
2020-KW37,,1,,2,3,2,2,4,,2,,1,,,,1,1,
2020-KW38,2,1,1,1,6,3,3,2,2,1,1,,2,,,,,
2020-KW39,,1,,,1,6,1,,,2,,,,,,,,
2020-KW40,,,,,4,5,4,1,4,,,1,,,,,,
2020-KW41,,,2,1,2,4,3,3,2,1,2,3,,,,,,
2020-KW42,1,,1,1,6,10,7,7,3,3,2,1,,,1,,1,
2020-KW43,2,2,2,7,13,12,3,6,3,6,3,8,1,2,1,1,,
2020-KW44,1,4,3,9,22,11,10,4,6,7,12,11,3,,4,2,5,
2020-KW45,1,1,5,6,28,22,17,11,12,14,12,11,3,6,6,5,4,
2020-KW46,,3,3,6,17,24,18,12,12,4,2,7,8,7,4,2,10,
2020-KW47,4,1,4,3,27,31,14,12,16,11,8,12,16,3,6,4,26,
2020-KW48,5,6,,2,18,20,16,15,7,16,16,20,6,10,3,7,22,
2020-KW49,2,6,10,14,22,18,18,16,11,3,10,11,10,7,1,4,22,
2020-KW50,3,2,2,12,32,30,25,16,21,8,11,8,16,7,3,9,42,
2020-KW51,3,8,2,4,28,26,16,12,17,10,12,14,5,5,4,,29,
2020-KW52,1,4,4,5,11,15,16,8,11,9,7,7,8,3,3,4,14,
2020-KW53,,1,2,1,14,12,8,10,9,9,7,12,6,5,4,2,19,
2021-KW01,1,2,4,1,8,8,14,8,16,6,11,8,4,7,3,1,16,
2021-KW02,1,1,2,4,18,12,14,12,5,8,10,9,5,4,4,8,30,
2021-KW03,1,,1,1,10,16,10,3,7,5,10,5,5,3,2,1,14,
2021-KW04,,1,,1,9,11,6,2,6,1,1,4,7,3,2,1,13,
2021-KW05,,1,1,1,4,7,2,3,1,3,4,2,,3,,1,5,
2021-KW06,,,,,5,10,8,3,3,6,2,4,,,1,,1,
2021-KW07,,,,2,7,6,4,5,1,2,4,4,1,1,3,1,4,
2021-KW08,1,,2,3,5,8,5,6,,5,4,4,3,1,,,3,
