# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-08-28 08:41:46
# API-Download für Covid19-Fälle in LK Lahn-Dill-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,1,,,,1,,,,,,,
2020-KW11,,,,,1,,2,3,1,2,1,4,,1,,,,
2020-KW12,,,,2,1,3,1,3,6,7,8,13,4,,1,,,
2020-KW13,,,,2,5,9,2,11,7,8,14,10,3,2,5,1,8,
2020-KW14,1,1,4,2,6,8,1,3,3,5,13,10,8,7,4,5,6,
2020-KW15,1,1,,,,3,4,4,4,1,5,7,1,4,3,1,17,
2020-KW16,,1,,2,2,,1,2,2,,1,4,2,2,1,,3,
2020-KW17,,,,,2,,1,1,,1,2,1,1,,,3,1,
2020-KW18,,,,,,,,1,,,,,,1,,,2,
2020-KW19,,,,1,,,,,,,,1,,,2,1,,
2020-KW20,,,,,,1,,,,,,,,1,,,,
2020-KW21,,,,,,,,,,,,,,,1,,,
2020-KW24,,,,,,,,,1,,,,,,,,,
2020-KW26,,,,,,1,,,,,,,,,,,,
2020-KW27,,,,,,1,,,1,,,,,,,,,
2020-KW28,,,,,1,3,,,,,,,,,,,,
2020-KW29,,,,,1,,,,,,,,,,,,,
2020-KW30,,,,,,2,,1,,,,,1,1,,,1,
2020-KW31,1,,,3,2,1,,,,5,1,1,1,,,,,
2020-KW32,,2,3,1,1,1,,3,1,,,1,,1,,,1,
2020-KW33,,,1,2,1,1,,,,,3,,,2,1,,,
2020-KW34,1,2,2,1,4,1,4,,5,1,3,4,,1,,,1,
2020-KW35,,,5,,1,1,1,3,,,1,2,2,,,1,,
2020-KW36,,1,,,1,1,,1,,,5,,,1,,,,
2020-KW37,,1,,2,1,1,,3,1,1,1,,,1,1,,,
2020-KW38,,,4,5,1,4,,5,3,,1,1,2,2,,1,,
2020-KW39,1,,1,2,1,1,,1,,2,1,2,1,,,1,4,
2020-KW40,,3,4,4,7,2,2,3,3,3,3,3,1,1,1,,3,
2020-KW41,,4,2,3,15,3,6,7,14,7,9,5,3,2,2,4,6,
2020-KW42,3,2,1,7,9,12,17,12,7,10,11,9,6,2,2,2,2,
2020-KW43,11,15,14,26,32,38,30,19,17,22,29,22,7,6,4,5,8,
2020-KW44,12,20,29,33,44,47,22,27,31,44,38,31,13,12,8,7,13,
2020-KW45,11,12,15,25,33,35,40,30,20,14,30,35,13,11,14,7,15,
2020-KW46,6,10,9,23,30,35,26,23,25,33,19,23,9,9,5,4,15,
2020-KW47,11,20,22,38,44,33,33,27,29,20,43,48,27,10,11,10,34,
2020-KW48,7,17,30,41,39,36,26,33,37,36,24,26,14,13,11,13,60,
2020-KW49,3,9,10,13,21,26,26,24,24,26,24,27,22,7,10,8,30,
2020-KW50,7,8,13,21,28,21,23,18,27,35,31,32,15,4,3,12,23,
2020-KW51,10,16,20,22,40,38,26,28,32,39,46,35,36,13,17,15,39,
2020-KW52,5,8,5,18,8,22,25,20,23,29,25,35,18,14,9,7,35,
2020-KW53,9,9,8,18,22,23,20,25,26,27,24,19,18,8,10,8,25,
2021-KW01,6,9,13,15,38,37,28,39,30,30,31,25,33,18,7,4,21,
2021-KW02,9,7,10,14,33,20,36,14,32,19,27,25,16,13,12,11,34,
2021-KW03,2,3,9,11,19,24,21,25,19,13,19,22,28,8,16,10,46,
2021-KW04,7,6,12,15,18,23,29,19,21,25,22,13,15,9,12,16,60,
2021-KW05,,11,7,17,19,23,15,15,21,27,25,29,24,15,13,21,43,
2021-KW06,3,7,14,18,24,20,20,16,19,32,23,20,12,8,12,7,24,
2021-KW07,1,2,7,14,22,14,16,9,14,19,19,20,14,8,5,8,29,
2021-KW08,9,12,12,15,27,12,22,14,15,15,21,17,8,7,5,4,32,
2021-KW09,13,22,16,23,25,24,28,22,24,25,32,25,16,9,7,3,23,
2021-KW10,12,25,24,28,36,27,27,33,30,27,36,33,17,13,7,5,10,
2021-KW11,22,36,31,33,28,36,38,30,28,44,27,36,18,17,14,7,19,
2021-KW12,27,40,31,40,47,34,48,37,37,30,37,36,27,15,11,13,18,
2021-KW13,21,17,25,34,36,40,49,38,40,44,49,49,34,25,22,19,21,
2021-KW14,17,24,24,32,50,42,48,37,36,40,44,37,30,20,17,6,11,
2021-KW15,12,25,36,50,44,47,40,48,42,43,47,48,25,23,12,13,9,
2021-KW16,8,20,17,25,35,34,50,37,33,38,35,36,23,19,12,5,6,
2021-KW17,9,17,32,32,42,33,28,38,28,33,39,41,20,9,13,9,13,
2021-KW18,9,18,22,33,29,24,41,27,20,16,25,23,28,13,7,2,7,
2021-KW19,10,16,18,22,18,13,19,14,13,16,25,24,15,10,3,,8,
2021-KW20,9,13,15,19,11,7,5,14,20,9,15,18,8,5,4,3,6,
2021-KW21,3,4,7,7,3,1,3,2,8,4,7,1,,1,2,1,3,
2021-KW22,3,2,4,2,2,1,1,3,4,4,4,5,1,,,,,
2021-KW23,1,2,2,1,2,5,3,3,1,1,2,1,1,,2,,1,
2021-KW24,,1,1,2,2,,,,2,1,1,,1,,,,,
2021-KW25,,,,1,,,,,,,,,,,,,,
2021-KW26,,2,1,,1,2,1,2,,2,,1,,,,,,
2021-KW27,1,,,,,2,2,,,,,,,1,,,,
2021-KW28,,,,,,1,,,,1,2,1,1,,,,,
2021-KW29,,,,1,2,3,3,,,2,2,,,1,,,1,
2021-KW30,1,,,1,2,3,4,2,,1,2,2,3,2,,,1,
2021-KW31,1,,4,3,5,4,6,1,2,1,3,1,1,,,1,6,
2021-KW32,2,3,6,2,9,12,4,7,4,3,2,3,3,,,2,1,
2021-KW33,4,10,11,7,12,8,12,10,3,6,6,3,1,,2,1,6,
2021-KW34,5,12,12,11,10,13,15,9,13,11,7,5,2,2,3,1,1,
2021-KW35,11,31,44,24,16,28,25,16,18,10,10,4,1,4,2,1,3,
2021-KW36,6,20,36,20,19,13,21,18,16,9,5,2,5,7,2,3,6,1
2021-KW37,15,9,17,12,17,15,13,9,12,8,10,10,2,1,1,2,10,
2021-KW38,6,14,12,16,10,21,6,19,8,11,9,5,2,3,2,1,1,
2021-KW39,3,13,15,15,16,21,11,8,9,8,6,4,3,,2,2,3,
2021-KW40,4,11,20,9,7,12,19,4,11,5,7,10,2,2,3,2,1,
2021-KW41,9,10,9,1,14,15,15,19,7,8,10,4,4,2,2,3,4,
2021-KW42,9,14,22,14,11,14,20,24,15,15,16,19,10,8,4,,13,
2021-KW43,4,16,28,20,18,21,22,15,17,11,22,25,9,7,7,1,7,
2021-KW44,2,25,36,24,13,25,16,28,26,19,22,17,14,15,12,4,11,
2021-KW45,7,49,58,30,19,25,23,44,32,21,22,26,19,17,5,4,12,
