# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-06-08 06:19:13
# API-Download für Covid19-Fälle in LK Ansbach, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,1,1,,,1,1,,1,,,,,
2020-KW12,,,,,1,1,2,3,5,4,7,3,3,3,2,2,2,
2020-KW13,1,1,,3,10,6,9,7,6,11,12,9,6,8,4,2,2,
2020-KW14,,,1,3,8,10,5,8,7,10,15,13,12,5,5,7,15,
2020-KW15,4,,1,1,3,11,7,9,3,4,5,10,9,10,4,4,6,
2020-KW16,,,1,6,11,5,6,4,5,5,6,18,5,2,2,2,8,
2020-KW17,,1,1,2,16,11,8,1,3,4,3,6,4,1,,2,10,
2020-KW18,,,,4,1,1,2,5,,2,3,4,,1,1,3,4,
2020-KW19,,1,,2,2,2,1,,1,6,2,2,3,,1,,5,
2020-KW20,,,,,2,2,,1,1,1,1,2,3,,,,1,
2020-KW21,,,,,2,,,1,,,2,3,1,2,,,1,
2020-KW22,,,,,,,,,1,,1,,1,1,,,2,
2020-KW23,,,,,,1,,,,,,,,,,1,,
2020-KW24,,,,,,,,,,,,,,,,,1,
2020-KW28,,,,,1,,,,,,,,,,,,,
2020-KW29,,,,,,,,,,,,1,,,,,,
2020-KW31,,,,,,,,,,,1,,1,,,,,
2020-KW32,,,,,,,,,,,,,,,1,,,
2020-KW33,,,,,,,,,,,,,,1,,,,
2020-KW34,,1,,1,4,,1,,,,2,,,,,,,
2020-KW35,,,2,1,1,,2,2,1,3,2,,,,,,,
2020-KW36,,,1,,1,2,,2,,,1,,1,,,,1,
2020-KW37,,2,,1,3,,2,4,1,1,1,1,,,,,,
2020-KW38,,1,1,2,5,3,4,2,2,1,1,1,,,,,,
2020-KW39,,,,,4,3,1,2,,,1,,,,,,,
2020-KW40,1,,,1,5,2,1,2,2,2,3,3,,,,,,
2020-KW41,1,,,2,1,2,3,5,2,4,5,5,,1,,,,
2020-KW42,1,2,2,2,6,10,9,3,4,3,7,6,3,1,,2,2,
2020-KW43,2,3,3,4,18,9,11,9,9,6,17,13,9,8,5,3,16,
2020-KW44,1,4,9,14,17,20,20,11,18,17,18,14,10,9,6,9,21,
2020-KW45,4,8,7,17,27,28,29,14,16,15,25,12,11,12,7,9,57,
2020-KW46,7,5,3,33,32,37,21,27,21,22,33,34,29,15,11,5,44,
2020-KW47,3,8,7,10,17,20,21,21,11,29,33,26,19,9,12,4,30,
2020-KW48,5,8,13,12,16,13,15,17,18,18,22,20,22,6,7,8,34,
2020-KW49,4,2,17,28,18,26,21,17,17,18,24,22,23,6,5,5,18,
2020-KW50,4,5,12,13,11,17,21,18,24,13,21,17,23,15,8,4,19,
2020-KW51,4,10,16,10,22,18,23,20,13,24,34,30,14,7,4,9,24,
2020-KW52,4,3,2,9,21,14,12,10,9,13,25,15,15,9,3,7,12,
2020-KW53,3,3,3,7,17,10,13,9,3,18,18,17,13,6,2,6,9,
2021-KW01,7,4,11,15,22,13,11,15,17,22,15,21,12,10,13,5,27,
2021-KW02,5,10,8,11,22,10,20,21,22,30,25,22,15,7,5,7,29,
2021-KW03,1,2,5,7,13,16,8,9,9,21,14,17,9,8,7,5,17,
2021-KW04,2,4,5,14,17,23,7,10,10,19,24,17,17,7,3,6,12,
2021-KW05,3,,3,7,15,21,14,6,8,14,28,13,19,5,7,6,26,
2021-KW06,3,1,,5,9,12,6,4,9,4,6,11,9,6,2,4,15,
2021-KW07,2,2,,6,21,9,11,9,10,4,10,5,9,6,6,3,10,
2021-KW08,3,2,5,7,14,10,10,10,11,14,17,20,16,6,10,10,25,
2021-KW09,7,6,9,16,14,6,15,8,5,15,15,11,10,11,8,4,15,
2021-KW10,8,13,8,6,15,11,9,9,16,17,12,11,11,4,10,1,16,
2021-KW11,13,7,8,6,18,30,16,13,20,14,12,18,15,8,3,2,1,
2021-KW12,14,17,10,24,34,26,31,21,21,16,34,37,17,10,19,4,11,
2021-KW13,9,2,13,20,36,22,25,31,20,33,39,27,18,13,5,6,11,
2021-KW14,4,14,11,24,26,38,28,35,37,30,35,32,22,13,7,7,10,
2021-KW15,9,19,20,31,36,29,33,29,35,39,32,42,34,18,15,6,9,
2021-KW16,12,15,15,26,31,30,36,33,36,38,39,45,22,12,10,7,11,
2021-KW17,25,7,8,20,21,32,24,21,23,28,22,24,25,13,6,4,4,
2021-KW18,10,13,12,8,16,20,17,12,13,17,13,10,12,7,11,3,18,
2021-KW19,6,11,5,9,12,13,8,6,7,13,7,14,6,2,5,1,2,
2021-KW20,4,2,2,9,4,3,6,5,3,4,10,10,4,2,1,1,4,
2021-KW21,2,2,2,4,3,4,3,6,4,6,3,2,1,2,1,,3,
2021-KW22,,1,2,1,5,4,5,1,1,,2,1,1,,,,1,
