# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-09-03 08:45:56
# API-Download für Covid19-Fälle in LK Würzburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,1,1,,,,,,,
2020-KW11,,1,1,1,2,,1,,,1,2,1,,1,2,1,1,
2020-KW12,,,,,4,3,5,3,1,4,9,13,11,2,1,2,4,
2020-KW13,1,,2,3,6,8,8,4,9,14,17,12,8,3,3,2,6,
2020-KW14,,1,1,3,8,4,7,5,5,5,15,13,7,7,5,6,6,
2020-KW15,1,1,2,2,2,3,6,1,8,4,6,4,1,1,5,2,3,
2020-KW16,1,3,2,3,2,1,4,1,3,5,5,1,2,2,1,,,
2020-KW17,,1,,,,,1,2,1,2,1,2,1,1,,,1,
2020-KW18,,,,,,,1,,,,,,2,,,,,
2020-KW19,,,,,,,2,1,,,,,1,,,,,
2020-KW21,,,,,,,,,,,1,2,,,,,,
2020-KW22,,,,,,,,,1,,,,,,,,,
2020-KW23,,,,,,1,,,,,,,,,1,,1,
2020-KW24,,,,,,1,,,,,,,,,,,,
2020-KW26,2,,,,1,,3,2,,,,,2,,,,,
2020-KW27,,,,,,,,1,,,,,,,,,,
2020-KW28,1,,,,1,,,1,1,1,,,1,,,,,
2020-KW29,,,,,,,,,,,1,,,,,,,
2020-KW30,,,,,1,4,1,2,,1,1,1,,,,,,
2020-KW31,,1,,,,,,,,,2,1,,,,,,
2020-KW32,,,,,,,2,1,1,,1,1,2,2,,,,
2020-KW33,,,1,2,,1,2,1,1,1,2,,,,,,,
2020-KW34,,,,3,7,4,,3,,1,,,,,,,,
2020-KW35,,1,2,1,3,1,1,,2,2,,,,,,,,
2020-KW36,2,,3,,3,,1,3,1,2,2,1,,,1,,,
2020-KW37,1,3,,7,13,8,1,3,,2,5,6,3,,,1,1,
2020-KW38,3,1,1,6,18,4,7,2,5,2,9,4,2,,,,,
2020-KW39,1,2,,1,1,2,1,3,3,1,4,2,1,,1,,,
2020-KW40,,1,3,1,5,,1,3,1,,,1,,1,,,,
2020-KW41,1,1,1,2,5,2,1,2,1,1,5,5,1,1,,,1,
2020-KW42,4,1,5,4,6,5,4,9,3,3,5,4,3,3,,1,2,
2020-KW43,7,5,6,15,11,13,10,8,9,11,5,10,5,,2,1,1,
2020-KW44,3,3,10,10,16,9,13,10,8,12,21,11,11,4,3,4,13,
2020-KW45,10,8,9,19,20,11,15,17,17,17,26,13,8,4,12,6,45,
2020-KW46,5,5,8,10,11,15,18,8,10,17,22,18,17,7,3,4,7,
2020-KW47,1,4,4,10,13,10,17,9,14,15,9,14,11,8,4,4,2,
2020-KW48,2,3,3,5,11,5,12,1,6,7,18,9,7,4,1,2,11,
2020-KW49,7,7,5,3,9,8,8,5,10,10,12,12,6,3,,4,6,
2020-KW50,4,4,8,8,7,8,12,12,8,6,9,16,11,8,3,3,2,
2020-KW51,5,5,4,3,7,5,6,6,6,11,9,12,6,2,4,3,7,
2020-KW52,2,7,1,4,3,3,2,6,8,5,7,10,7,2,6,4,7,
2020-KW53,2,1,2,3,6,12,12,9,5,10,9,5,7,7,7,5,4,
2021-KW01,4,4,7,7,17,16,17,12,10,10,15,16,10,2,5,1,4,
2021-KW02,3,5,4,3,10,7,6,5,10,7,13,4,8,5,4,2,4,
2021-KW03,3,4,5,8,9,8,7,6,15,12,7,7,12,5,5,4,18,
2021-KW04,5,2,3,4,8,5,13,8,11,11,5,11,10,8,2,4,7,
2021-KW05,2,4,3,3,5,7,5,5,3,9,3,12,7,6,4,3,10,
2021-KW06,2,1,3,4,7,8,5,1,5,6,7,2,5,1,1,1,2,
2021-KW07,2,1,1,1,4,2,6,4,2,3,4,2,3,3,1,,5,
2021-KW08,4,2,1,2,6,10,3,,4,2,7,5,6,3,1,,2,
2021-KW09,2,2,1,,5,2,1,4,5,1,8,8,4,3,2,2,4,
2021-KW10,5,11,4,4,5,3,5,5,3,7,6,7,10,1,,1,2,
2021-KW11,6,14,3,2,4,9,11,7,9,9,3,7,6,2,,,5,
2021-KW12,4,8,1,4,8,10,9,5,5,7,11,7,9,1,2,1,2,
2021-KW13,15,14,6,4,6,16,15,15,12,13,16,12,11,5,4,2,7,
2021-KW14,12,10,4,9,15,15,9,20,11,9,9,11,16,8,3,6,4,
2021-KW15,11,6,8,13,8,9,16,13,12,11,19,9,14,4,7,,3,
2021-KW16,9,12,10,7,11,12,13,14,16,16,12,5,12,6,,4,2,
2021-KW17,4,6,9,3,13,6,6,3,6,8,13,14,5,3,2,4,2,
2021-KW18,3,8,10,9,11,5,5,8,6,13,5,7,3,1,3,,,
2021-KW19,1,2,2,3,9,4,6,3,6,4,2,3,5,1,3,,1,
2021-KW20,1,2,3,11,13,1,2,3,6,3,3,2,,,,1,1,
2021-KW21,,,1,1,1,1,,1,2,1,2,,,,1,,,
2021-KW22,,,4,3,2,,2,,4,4,3,1,3,2,1,,,
2021-KW23,1,,2,1,3,3,2,,2,3,1,3,3,,1,1,2,
2021-KW24,2,,1,1,2,1,1,5,1,1,1,1,,,2,,,
2021-KW25,1,2,5,3,2,,,1,2,,1,1,,2,,,,
2021-KW26,2,2,4,1,,1,,1,,1,,1,1,,,1,1,
2021-KW27,,1,3,1,1,1,2,,1,,,1,1,,,,,
2021-KW28,1,1,,,1,,,,,,,,,1,,,1,
2021-KW29,,,1,2,2,,4,,,,1,,,,1,,,
2021-KW30,,,1,4,4,,,1,,4,1,,,,,,,
2021-KW31,,2,1,1,,,2,,,4,,1,,,1,,,
2021-KW32,,,,,4,3,,1,1,2,2,1,,,2,,1,
2021-KW33,,5,6,6,8,3,2,9,2,3,3,2,,1,1,,,
2021-KW34,5,8,8,15,9,7,9,8,5,7,4,3,3,1,3,,1,
2021-KW35,9,9,10,21,10,12,12,9,10,3,5,11,3,4,1,,6,
2021-KW36,10,6,5,6,11,7,5,15,10,5,4,,4,5,3,1,10,
2021-KW37,3,4,7,7,15,5,8,5,7,7,5,1,2,3,,1,6,
2021-KW38,2,5,3,8,6,10,6,5,3,5,8,2,3,,1,,2,
2021-KW39,5,11,3,3,6,12,5,3,7,5,5,3,,1,3,1,2,
2021-KW40,2,3,6,6,14,6,8,7,7,5,6,2,1,4,2,1,2,
2021-KW41,,6,3,6,6,7,12,6,8,8,11,13,3,4,1,,1,
2021-KW42,8,14,9,14,9,13,6,12,7,7,19,9,5,5,2,1,6,
2021-KW43,10,28,20,10,21,14,19,20,26,16,16,23,13,8,8,3,10,
2021-KW44,11,39,38,21,20,20,17,25,22,22,19,23,9,15,7,7,11,
2021-KW45,19,40,41,20,25,26,33,35,44,27,32,26,27,20,10,6,17,
2021-KW46,26,47,54,29,30,21,27,46,42,42,40,34,32,24,18,13,34,
2021-KW47,13,52,55,14,26,23,37,46,43,41,50,37,32,18,18,13,32,
2021-KW48,30,44,40,26,21,20,42,35,25,33,45,42,28,19,13,12,15,
2021-KW49,27,41,30,25,14,35,35,30,26,23,33,40,33,12,13,8,13,
2021-KW50,12,35,18,19,20,21,20,27,20,17,33,28,22,11,9,7,9,
2021-KW51,40,39,14,14,21,11,25,24,24,14,19,13,13,5,3,2,3,
2021-KW52,22,34,18,30,50,32,32,38,26,22,27,29,16,9,2,4,7,
2022-KW01,21,24,31,88,51,43,37,39,47,51,43,37,26,15,6,7,10,
2022-KW02,28,46,51,65,77,68,49,61,50,50,50,53,23,19,12,6,13,
2022-KW03,132,208,146,117,118,127,156,150,106,98,81,91,56,26,30,10,26,
2022-KW04,159,305,273,184,143,145,176,248,230,141,140,105,89,43,17,9,35,
2022-KW05,179,360,303,211,163,177,223,299,280,205,161,147,106,66,24,19,46,
2022-KW06,143,368,315,201,196,187,213,290,294,190,189,172,116,62,42,18,54,2
2022-KW07,185,333,221,205,202,205,234,285,283,180,211,176,151,78,63,36,92,
2022-KW08,222,317,165,220,190,203,255,301,250,194,218,208,126,97,66,20,69,
2022-KW09,155,234,153,218,228,217,244,281,270,233,194,184,163,86,62,35,102,
2022-KW10,179,277,258,403,400,286,288,321,259,227,223,223,193,100,81,43,156,
2022-KW11,240,313,288,308,311,298,294,370,302,297,320,308,256,148,116,75,123,
2022-KW12,217,353,288,251,246,252,303,355,296,258,272,313,231,138,126,51,75,1
2022-KW13,197,258,211,209,209,243,251,306,262,199,237,252,215,120,95,42,70,
2022-KW14,128,213,141,137,147,178,208,206,189,138,171,203,145,96,71,33,86,
2022-KW15,108,144,107,103,121,173,173,171,193,130,149,145,144,67,57,25,46,
2022-KW16,61,84,95,119,110,123,123,154,130,150,139,156,136,74,48,30,55,
2022-KW17,35,69,86,86,73,76,90,91,97,100,112,116,93,42,33,19,47,
2022-KW18,32,50,83,65,80,61,101,106,90,76,118,114,92,36,21,23,65,
2022-KW19,50,66,76,45,59,82,86,96,94,70,82,90,61,43,43,14,31,
2022-KW20,19,19,40,26,29,42,45,45,41,42,45,34,43,29,24,7,14,
2022-KW21,8,21,16,13,25,18,28,29,33,21,25,45,25,17,12,14,9,
2022-KW22,11,12,20,28,36,44,25,32,35,28,37,47,42,13,13,8,11,1
2022-KW23,11,9,9,19,48,59,55,45,45,42,41,61,36,17,19,7,9,
2022-KW24,10,14,20,38,58,73,56,48,50,57,78,82,62,28,17,6,16,
2022-KW25,21,36,60,71,74,83,82,88,95,87,127,111,73,27,25,19,22,
2022-KW26,28,66,107,70,63,85,99,101,116,98,124,120,86,63,36,24,27,
2022-KW27,31,58,111,98,72,88,117,100,129,116,141,147,103,61,32,20,20,
2022-KW28,47,73,140,131,102,115,143,146,140,126,170,178,135,75,36,26,37,
2022-KW29,50,72,126,164,129,159,164,188,181,170,205,188,148,86,67,31,44,
2022-KW30,30,69,101,99,103,103,138,141,134,130,156,202,137,71,51,26,51,
2022-KW31,20,12,40,46,50,68,61,73,89,81,83,113,67,45,27,21,30,
2022-KW32,11,13,16,21,34,38,59,55,32,51,47,63,56,35,17,16,18,
2022-KW33,11,7,11,14,35,30,44,40,25,30,44,48,46,23,21,6,15,
2022-KW34,5,6,12,13,29,31,34,38,29,36,47,55,36,21,16,10,16,
2022-KW35,5,4,6,10,12,13,13,33,31,30,31,33,21,15,12,5,17,
