# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-10-23 09:00:37
# API-Download für Covid19-Fälle in SK Oberhausen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW08,,,,,,,,,,,,,,1,,,,
2020-KW11,,,,,1,,,2,1,5,3,1,,,,,,
2020-KW12,,,,,,2,2,1,1,,9,4,3,2,2,,,
2020-KW13,,,,1,2,3,,1,5,1,1,4,3,2,1,,1,
2020-KW14,,,,2,1,6,4,7,2,5,5,8,2,3,,3,2,
2020-KW15,,,,2,2,3,2,,3,3,1,8,3,2,1,1,2,
2020-KW16,,,1,2,1,5,1,2,2,4,1,3,,1,1,,1,
2020-KW17,1,1,1,,,,,,3,,1,2,3,,,,1,
2020-KW18,,2,,2,3,1,,1,4,,1,,3,,2,3,20,
2020-KW19,,1,1,2,3,,2,1,1,3,3,,,,,,2,
2020-KW20,,,1,1,,,2,,,,,2,,,,,4,
2020-KW21,,1,,1,,,,1,,,,,,,,,,
2020-KW22,,,,,1,,,,,1,1,,,,,,,
2020-KW23,,,,1,1,,,1,,,,1,1,,1,,1,
2020-KW24,,1,,1,,,,1,,,,,,,,,,
2020-KW25,,,,,1,,2,2,1,,1,,,1,,,,
2020-KW26,1,2,,1,2,1,2,,2,1,2,3,,1,,1,,
2020-KW27,,,,,,,1,2,1,,1,1,1,,,,,
2020-KW28,2,3,,2,1,,,,1,,2,2,,,,,,
2020-KW29,,1,2,,2,,1,1,2,3,3,2,3,,,,,
2020-KW30,1,1,1,3,9,8,2,,2,,1,3,3,,,,2,
2020-KW31,,1,,3,5,3,6,4,4,3,1,1,,1,1,,1,
2020-KW32,2,2,2,1,4,2,1,,,2,1,,2,,2,,,
2020-KW33,3,2,1,2,2,2,3,,4,6,3,2,1,,,,1,
2020-KW34,,1,4,1,2,1,3,3,4,,1,,4,,,,,
2020-KW35,1,,1,1,1,3,2,1,1,2,1,1,6,,,,,
2020-KW36,,1,1,2,4,2,2,2,4,,3,2,,,,,,
2020-KW37,,1,,1,,3,3,3,3,2,3,2,,1,,,1,
2020-KW38,,,1,2,1,1,3,1,,,2,2,,,1,2,5,
2020-KW39,,1,1,,3,4,1,4,4,2,3,,1,,1,,,
2020-KW40,1,1,,1,2,3,5,,2,6,5,3,,1,,,,
2020-KW41,,3,,2,5,4,5,5,4,7,9,2,6,3,1,,2,
2020-KW42,2,,4,4,11,16,7,9,10,11,7,9,3,1,,2,4,
2020-KW43,8,7,10,8,21,11,21,31,16,24,25,15,7,3,10,5,9,
2020-KW44,3,11,9,21,28,29,31,22,25,29,26,25,17,7,6,1,16,
2020-KW45,5,18,20,40,45,44,28,33,28,35,50,28,20,13,8,11,19,
2020-KW46,8,13,22,38,47,48,40,37,43,42,37,29,19,11,24,20,32,
2020-KW47,5,12,12,33,45,30,22,31,24,38,33,30,14,10,7,7,41,
2020-KW48,5,2,6,28,19,29,29,25,27,33,24,32,17,14,8,5,38,
2020-KW49,2,6,13,29,24,43,29,25,29,26,35,33,25,9,11,16,63,
2020-KW50,3,7,9,31,30,37,32,27,36,33,46,40,33,18,11,18,92,
2020-KW51,6,8,16,28,41,44,53,38,47,54,64,54,41,28,30,34,112,
2020-KW52,8,11,7,15,27,33,41,32,34,36,38,44,29,11,21,18,65,
2020-KW53,4,4,8,16,22,30,23,19,21,28,28,23,26,17,13,11,76,
2021-KW01,7,6,6,16,24,39,27,22,17,22,35,32,30,16,15,19,93,
2021-KW02,8,5,5,15,16,25,20,32,12,19,20,27,17,13,9,15,54,
2021-KW03,3,4,1,15,15,22,8,13,18,17,37,27,31,19,16,16,65,
2021-KW04,2,1,,5,20,26,18,10,13,10,9,24,13,11,8,12,55,
2021-KW05,3,1,2,4,10,16,18,7,14,13,10,15,13,11,9,4,21,
2021-KW06,2,5,1,7,7,9,7,11,8,7,7,8,6,6,5,5,17,
2021-KW07,5,,2,2,9,17,17,12,6,8,14,13,16,7,8,7,18,
2021-KW08,4,2,4,5,11,11,5,7,15,4,12,17,4,8,1,2,24,
2021-KW09,3,2,10,10,17,19,14,9,10,4,14,10,5,4,7,5,5,
2021-KW10,12,9,8,22,19,15,14,22,22,10,21,18,13,6,9,7,13,
2021-KW11,14,17,20,14,40,26,36,23,27,26,31,26,12,11,8,6,5,
2021-KW12,17,24,21,30,28,34,28,24,20,30,24,35,25,9,12,7,10,
2021-KW13,13,11,14,19,26,24,19,27,27,33,23,23,16,14,11,10,9,
2021-KW14,5,10,15,17,24,31,20,25,26,27,28,22,19,8,10,6,16,
2021-KW15,10,21,15,31,32,39,31,38,35,25,40,30,19,16,12,5,16,
2021-KW16,22,32,39,31,31,34,45,31,35,27,21,33,19,17,8,5,2,
2021-KW17,7,17,24,24,23,25,22,30,21,25,19,23,18,9,10,3,7,
2021-KW18,14,18,11,19,17,17,18,32,23,27,12,14,13,2,2,2,10,
2021-KW19,5,14,16,9,15,9,18,5,10,10,11,8,4,6,2,2,5,
2021-KW20,3,14,8,4,5,9,9,14,11,8,11,12,6,4,5,3,2,
2021-KW21,1,5,2,4,3,5,5,4,4,1,4,4,2,2,2,2,,
2021-KW22,1,4,6,3,5,3,2,5,2,4,2,3,1,1,1,1,1,
2021-KW23,,3,10,6,2,,2,1,2,1,6,,2,,3,1,,
2021-KW24,1,3,3,1,4,4,3,2,,1,,1,,1,,,1,
2021-KW25,1,2,1,1,,,1,,,1,2,1,,,,,,
2021-KW26,1,2,4,1,,,1,1,2,2,2,,1,,,1,,
2021-KW27,1,,,3,3,1,4,1,1,3,4,,,1,,,4,
2021-KW28,2,1,1,2,4,5,,2,5,2,1,1,,1,,,2,
2021-KW29,,2,2,4,4,4,,2,2,1,2,,,1,,,,
2021-KW30,2,,1,5,7,8,1,2,1,2,,1,1,,1,,,
2021-KW31,1,3,1,1,9,6,3,5,2,3,2,3,1,,,,2,
2021-KW32,2,2,7,11,9,12,8,5,6,8,8,4,,,,,1,
2021-KW33,4,19,23,26,25,13,17,10,13,9,13,9,2,3,2,2,4,
2021-KW34,13,37,59,31,28,11,31,23,22,21,15,5,4,4,3,2,2,
2021-KW35,8,29,47,40,25,29,29,26,18,20,12,14,4,6,4,1,1,
2021-KW36,10,27,36,21,14,16,21,22,17,15,11,9,5,1,1,1,2,
2021-KW37,7,12,24,13,16,17,17,16,10,15,14,6,8,3,1,,,
2021-KW38,7,14,29,11,11,18,15,12,5,8,10,4,6,3,3,2,2,
2021-KW39,11,16,16,7,3,10,19,12,13,13,8,2,5,1,,2,1,
2021-KW40,6,13,8,10,7,4,10,9,7,6,9,5,3,3,1,1,1,
2021-KW41,,3,3,1,4,7,6,5,8,2,5,8,6,4,4,,10,
2021-KW42,2,3,6,10,9,7,8,4,6,6,11,2,2,6,5,2,4,
2021-KW43,4,22,27,19,8,10,13,14,7,12,12,10,12,8,4,1,11,
2021-KW44,5,17,20,9,10,8,10,17,9,7,15,8,5,4,4,4,15,
2021-KW45,,13,30,21,17,14,17,14,19,16,12,20,19,9,4,4,11,
2021-KW46,6,21,31,18,21,29,30,18,24,23,31,30,28,17,18,13,9,
2021-KW47,10,47,49,49,27,43,44,38,37,30,30,39,26,13,14,6,19,
2021-KW48,12,58,58,38,25,48,51,32,38,42,47,42,24,17,12,10,14,
2021-KW49,10,50,39,29,24,28,26,35,32,30,31,34,15,7,6,5,11,
2021-KW50,21,103,89,32,29,35,42,45,47,37,31,35,22,16,11,8,16,
2021-KW51,24,70,67,29,23,28,37,43,32,34,15,20,11,10,7,5,6,
2021-KW52,15,40,45,31,33,53,42,53,41,36,26,27,22,16,4,7,14,
2022-KW01,41,53,54,77,81,101,77,89,63,51,56,54,39,25,8,10,20,
2022-KW02,44,149,95,107,91,114,111,96,80,82,57,63,40,20,13,16,32,
