# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-05-19 06:49:27
# API-Download für Covid19-Fälle in LK Gießen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,,,,1,1,,,,,,
2020-KW10,,,,,,1,,,,,,,2,,,,,
2020-KW11,,,,,1,,,1,2,1,,2,,1,1,,,
2020-KW12,,,1,3,4,4,8,6,5,7,3,4,2,1,,,,
2020-KW13,1,,,,5,6,6,3,4,5,11,3,8,6,1,,1,
2020-KW14,,,2,4,3,1,5,3,3,4,7,3,5,3,2,,2,
2020-KW15,,1,1,1,,4,1,1,2,1,1,1,,,1,,1,
2020-KW16,,1,,1,2,2,,2,2,,1,1,,,,,,
2020-KW17,2,,,,1,5,1,,,2,1,3,2,1,,,,
2020-KW18,2,,,,,1,1,2,,,1,2,1,1,1,,1,
2020-KW19,1,,,,2,,,,2,1,1,,,,1,,,
2020-KW20,,,,,2,1,,,1,,,,,,,,,
2020-KW21,,,,,,,,1,,,,1,,,,,,
2020-KW22,,,1,1,,,,,1,,,,1,1,,,,
2020-KW23,,,,,,,,,,,,1,,,,,,
2020-KW24,,,,,,,,,,1,,,,,,,,
2020-KW26,,,,,1,,,,,1,,,,,,,,
2020-KW27,,,,1,3,3,,,1,,1,1,1,,,,,
2020-KW28,,,,,1,1,,,,,,,,,,,,
2020-KW29,,,,1,1,2,,,,,,,,,,,,
2020-KW30,,,,1,1,1,,1,,,1,1,,,,,,
2020-KW31,,2,,,1,3,,3,,,,,1,,,,1,
2020-KW32,,,1,1,4,2,2,1,,,2,,,,,,1,
2020-KW33,,,1,,7,1,,1,2,,2,2,,,,1,,
2020-KW34,1,3,1,2,8,1,1,1,2,4,2,3,3,1,,,,
2020-KW35,1,1,,4,4,4,5,1,,,,,2,,,,,
2020-KW36,1,1,2,2,4,2,1,1,1,,3,4,,1,1,,,
2020-KW37,,,6,3,4,4,4,2,2,,1,3,1,3,,,,
2020-KW38,,,7,3,1,,1,1,2,1,2,,3,,,2,1,
2020-KW39,,,,1,,1,2,2,1,2,1,2,1,,,,,
2020-KW40,3,2,2,2,2,6,6,2,2,5,9,3,3,,1,1,1,
2020-KW41,2,1,1,3,7,10,3,4,4,5,6,10,5,,,,1,
2020-KW42,6,8,3,1,17,14,22,15,11,11,13,12,4,7,2,,1,
2020-KW43,11,13,20,19,45,39,28,17,11,18,19,15,8,12,3,2,2,
2020-KW44,6,11,21,26,52,52,44,30,25,36,38,26,22,12,8,7,8,
2020-KW45,10,16,32,43,63,63,54,40,41,28,41,35,32,29,9,5,5,
2020-KW46,8,11,42,50,71,64,45,39,36,31,39,39,16,10,4,3,12,
2020-KW47,6,6,15,21,64,46,49,34,32,39,35,25,21,15,4,12,62,
2020-KW48,6,10,7,30,42,42,38,29,25,20,30,26,18,11,14,16,69,
2020-KW49,6,13,6,12,46,31,38,33,34,22,41,27,24,16,7,7,53,1
2020-KW50,18,16,15,22,55,70,42,63,42,43,60,41,41,21,23,16,112,
2020-KW51,9,11,26,25,70,73,50,41,44,38,47,64,59,34,24,30,88,
2020-KW52,2,4,6,21,45,52,51,23,37,28,47,57,39,24,21,28,89,
2020-KW53,5,7,9,27,51,62,51,39,33,50,54,65,42,27,21,31,125,
2021-KW01,8,4,18,39,46,62,46,36,42,49,55,55,44,27,26,16,73,1
2021-KW02,5,8,7,22,36,40,30,34,31,27,25,29,26,22,18,6,46,
2021-KW03,3,5,3,21,22,21,21,16,15,15,19,27,17,6,7,12,25,
2021-KW04,1,4,8,7,20,16,19,13,13,14,12,19,14,10,9,6,23,
2021-KW05,3,3,7,10,26,16,19,18,14,14,18,18,19,8,5,2,11,
2021-KW06,3,,1,5,14,8,11,10,5,8,11,9,12,1,3,4,11,
2021-KW07,1,2,5,10,10,11,12,7,16,10,10,15,10,3,1,6,6,
2021-KW08,13,7,5,5,17,23,13,6,8,5,12,13,9,5,3,,6,
2021-KW09,7,7,6,18,21,19,19,13,11,12,16,10,18,11,3,2,6,
2021-KW10,12,11,9,14,31,33,21,22,25,21,25,21,8,9,3,2,9,1
2021-KW11,23,20,15,23,41,35,52,33,27,38,34,46,27,15,6,6,16,
2021-KW12,20,33,34,56,63,52,62,44,49,44,51,40,29,25,18,9,21,
2021-KW13,13,15,22,38,37,36,40,37,26,27,36,30,19,13,6,5,13,
2021-KW14,13,28,18,42,66,88,67,46,39,51,39,41,25,13,11,8,13,
2021-KW15,15,29,22,36,54,60,75,48,47,35,35,42,30,15,13,9,14,2
2021-KW16,22,30,30,56,81,66,80,48,44,50,43,38,33,23,16,4,9,3
2021-KW17,31,18,27,45,38,38,48,38,33,28,29,36,24,20,15,9,9,1
2021-KW18,12,14,22,23,27,34,39,36,39,13,15,18,15,10,6,7,9,1
2021-KW19,11,26,19,19,27,19,25,21,23,12,11,21,10,12,1,3,4,
2021-KW20,1,,,1,2,,1,2,,,,,,,,,,
