# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-03-05 07:44:11
# API-Download für Covid19-Fälle in SK Rostock, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,1,1,1,1,,1,1,,,,,,
2020-KW12,,,,,5,3,3,2,1,,,3,1,,,,,
2020-KW13,,,,,2,7,2,3,2,4,1,2,5,,2,1,1,
2020-KW14,,,,,,,1,,2,,2,1,,1,,,1,
2020-KW15,,,,,1,,,,2,,,1,1,,,1,2,
2020-KW16,,,,,,,,,,,1,,,,,,,
2020-KW17,,,,,,,,,,1,,,,,,,,
2020-KW19,,1,,,,,,2,,,1,2,,2,,,1,
2020-KW20,,,,,,,,,,,,,,4,,,1,
2020-KW21,,,,1,,,,1,1,2,2,,2,1,,,,
2020-KW23,,,,,,,,,,,,,,1,,,,
2020-KW24,,,,,,1,,,,,,,1,,,,,
2020-KW25,,,,,,,1,,,,,,,,,,,
2020-KW26,,,,,,,,1,,,,1,,,,,,
2020-KW27,,,,,,,1,,,,,,,,,,,
2020-KW30,,,,,,1,5,2,,1,1,,,,,,,
2020-KW31,,,,,,,,,1,1,,,,,,,,
2020-KW32,,,,,2,,1,1,2,,,,,,,1,,
2020-KW33,,2,2,,2,1,,1,,,,,,1,,,,
2020-KW34,,,,,3,2,1,,1,,,,,,,,,
2020-KW35,,,,,1,1,,1,,,,,,,,,,
2020-KW36,,,,,2,,,,,,,,,,,,,
2020-KW37,,1,1,1,1,1,,,1,1,,,1,,,,,
2020-KW38,,1,9,2,,1,3,1,2,,1,,1,1,,1,1,
2020-KW39,,,4,,,,1,2,,,1,,,,,,1,
2020-KW40,,,1,2,1,2,,,2,1,,,1,,,1,5,
2020-KW41,,,,1,2,1,6,1,,,1,1,,1,1,1,1,
2020-KW42,,,1,1,1,2,1,1,4,4,4,9,4,1,2,3,1,
2020-KW43,,1,,6,,4,6,4,3,3,8,9,5,2,1,3,3,
2020-KW44,1,,2,4,6,6,9,6,5,,4,3,5,3,,3,3,
2020-KW45,2,1,2,2,18,7,10,4,2,5,3,4,6,3,4,14,6,
2020-KW46,,,,1,5,6,5,6,4,3,3,7,4,1,1,,3,
2020-KW47,,2,,3,12,12,7,5,4,3,7,8,3,3,3,3,2,
2020-KW48,2,9,3,5,9,5,5,5,2,1,4,5,1,3,,1,,
2020-KW49,2,1,2,4,1,4,1,,4,1,3,3,1,,,2,5,
2020-KW50,,2,1,1,2,3,6,2,3,1,2,3,5,1,,1,2,
2020-KW51,1,,1,5,12,6,8,5,7,6,3,3,1,,1,3,1,
2020-KW52,1,1,1,3,12,5,7,2,4,4,8,7,1,1,2,,4,
2020-KW53,1,,,2,11,6,7,6,9,2,5,10,4,4,1,2,11,
2021-KW01,6,3,5,10,17,15,10,6,9,3,5,5,1,4,,2,7,
2021-KW02,3,1,2,7,6,9,9,8,7,4,5,3,8,3,,5,17,
2021-KW03,,2,3,4,10,8,4,4,6,9,11,6,6,,3,2,5,
2021-KW04,2,1,1,3,8,5,13,12,4,4,7,9,2,3,2,2,13,
2021-KW05,1,1,1,,14,3,10,3,3,3,4,5,3,3,3,3,7,
2021-KW06,,2,1,2,1,5,6,,3,2,4,4,2,3,2,2,5,
2021-KW07,1,2,1,3,10,12,9,,2,1,1,2,2,2,2,3,1,
2021-KW08,,4,3,1,5,3,4,1,9,4,8,2,5,1,,,3,
2021-KW09,,2,2,10,2,,7,7,6,3,5,2,,1,1,3,,
2021-KW10,,,3,3,4,4,3,6,3,1,5,3,1,5,4,1,2,
2021-KW11,,3,5,1,4,5,5,1,3,4,1,4,6,,1,2,2,
2021-KW12,5,12,5,4,7,7,12,16,10,8,8,9,12,2,,,2,
2021-KW13,9,9,6,4,12,8,22,19,19,9,7,11,2,6,3,2,2,
2021-KW14,3,19,10,4,13,18,23,22,7,10,10,4,4,2,2,7,3,
2021-KW15,8,9,13,12,37,35,35,20,10,14,11,18,10,11,6,8,4,
2021-KW16,14,13,7,17,29,17,17,16,14,11,5,21,15,7,4,3,7,
2021-KW17,3,10,6,13,28,13,29,16,16,8,9,13,8,2,7,6,3,
2021-KW18,4,9,7,4,21,8,15,10,10,5,11,9,5,6,1,1,1,
2021-KW19,4,5,4,6,11,8,16,9,3,7,9,6,9,4,2,,7,
2021-KW20,2,2,4,2,5,2,11,11,7,4,4,3,4,11,1,1,2,
2021-KW21,,2,3,2,2,4,4,3,4,3,,1,,,,1,,
2021-KW22,1,,,,1,3,1,1,1,,1,1,1,,,,,
2021-KW23,,,1,,,1,1,,,1,1,,,,,,,
2021-KW24,,,,,,2,1,1,,1,,,,,,,,
2021-KW25,,,,,,4,,1,,,,,,,,,,
2021-KW26,,1,,,1,,,3,,,,,,,,,,
2021-KW27,,,,1,,1,3,,,1,,,,,,,,
2021-KW28,,,4,1,,1,2,1,,1,1,1,,,,,,
2021-KW29,2,2,2,2,1,,2,,2,1,,,,,,,,
2021-KW30,,2,2,,3,3,3,,1,,,,1,,,,,
2021-KW31,4,4,8,7,9,4,5,3,6,5,1,1,,2,,,,
2021-KW32,2,6,5,18,26,15,10,2,6,10,6,4,1,2,1,,,
2021-KW33,10,9,15,20,17,12,19,11,9,2,9,1,,,1,,1,
2021-KW34,8,10,12,5,16,10,15,6,12,3,6,6,2,,1,1,1,
2021-KW35,11,10,14,20,13,15,15,23,7,12,6,7,3,,1,1,1,
2021-KW36,7,8,12,10,10,6,13,6,4,8,5,5,3,1,,,1,
2021-KW37,4,6,7,3,5,4,2,4,2,3,4,1,2,2,1,,1,
2021-KW38,,5,2,1,6,4,3,2,3,4,1,4,1,,2,1,2,
2021-KW39,4,7,6,9,6,9,3,9,6,2,2,5,1,2,,,1,
2021-KW40,1,2,12,5,13,5,9,8,4,9,3,6,4,1,2,2,,
2021-KW41,5,11,19,5,11,3,11,18,12,12,11,14,15,2,1,2,3,
2021-KW42,1,12,28,8,13,23,21,11,10,7,12,8,8,7,,6,22,
2021-KW43,5,41,39,7,5,13,14,32,25,10,16,10,9,3,6,5,21,
2021-KW44,10,63,39,20,16,20,33,36,27,14,21,23,11,13,4,5,21,
2021-KW45,19,40,33,23,29,36,49,44,46,29,45,38,25,17,12,13,46,
2021-KW46,19,52,58,23,35,29,57,48,35,29,20,31,25,18,21,12,34,
2021-KW47,27,43,50,31,38,27,64,62,59,34,28,31,26,21,20,10,27,
2021-KW48,41,107,91,50,49,40,78,75,68,51,38,45,24,28,17,11,26,
2021-KW49,32,96,66,37,46,53,81,77,69,39,37,42,26,18,16,11,32,
2021-KW50,30,90,61,39,49,50,63,67,63,39,56,52,31,18,16,17,28,
2021-KW51,10,37,56,35,33,34,55,69,61,27,30,37,21,14,9,9,29,
2021-KW52,14,47,54,43,74,48,58,62,54,38,33,43,25,13,9,3,6,
2022-KW01,34,61,77,56,129,85,88,72,43,38,32,45,28,17,10,8,13,2
2022-KW02,44,103,76,63,84,86,102,87,66,49,55,47,24,19,7,5,12,
2022-KW03,83,222,199,147,153,116,177,168,123,77,56,53,39,17,13,4,18,1
2022-KW04,88,250,299,163,125,133,183,205,160,105,70,77,49,32,18,13,36,
2022-KW05,108,254,324,136,162,160,198,224,198,134,105,86,67,16,15,7,40,4
2022-KW06,115,315,286,150,244,200,331,332,245,164,139,164,126,41,23,22,92,1
2022-KW07,165,350,256,250,330,284,401,429,307,214,188,167,123,49,30,21,97,
2022-KW08,180,261,255,231,370,304,411,379,288,216,221,208,138,63,43,41,134,1
2022-KW09,127,250,177,136,219,168,242,248,190,112,123,124,81,49,33,26,124,2
