# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-11-28 07:43:40
# API-Download für Covid19-Fälle in SK Augsburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,,1,,,,,,
2020-KW11,,,,,2,4,,2,1,3,3,3,1,,,,1,
2020-KW12,1,,,2,,8,5,6,7,3,4,2,,1,1,1,4,
2020-KW13,5,1,2,5,10,11,13,13,5,5,10,9,2,,6,2,3,
2020-KW14,2,,2,3,7,6,8,6,4,8,6,9,5,2,1,2,12,
2020-KW15,2,1,1,,5,3,6,4,3,4,7,4,1,2,6,,7,
2020-KW16,3,,,3,5,3,3,1,2,4,3,1,3,4,1,1,10,
2020-KW17,,,,,1,2,2,2,1,2,1,2,2,1,,2,1,
2020-KW18,1,,,1,,1,1,2,1,,1,2,,,,1,1,
2020-KW19,,1,,,,1,,,,,,,,,,,2,
2020-KW20,,,,,,,,,,1,,,,,,,1,
2020-KW21,,,,,,3,,,,,1,,,,,,,
2020-KW22,,,1,,2,1,,1,,1,,1,,,1,,,
2020-KW23,,,,,,,,,,,,2,,,,,,
2020-KW24,1,,,,1,2,,1,,,2,,,,,,,
2020-KW25,1,,,3,4,,,2,2,2,,,,,1,,,
2020-KW26,,,,,2,3,1,,,,,,,,,,,
2020-KW27,,,,1,3,3,,,2,,,1,,,,,,
2020-KW28,5,3,4,5,4,7,2,6,6,3,2,2,2,,2,,3,
2020-KW29,1,1,1,2,1,3,3,4,2,,1,2,1,2,1,,1,
2020-KW30,1,4,4,1,1,1,1,,2,,2,2,2,1,,1,1,
2020-KW31,1,1,,2,1,2,4,2,1,,1,2,1,,,,2,
2020-KW32,2,,,,1,3,1,,,,,,,,1,1,,
2020-KW33,,,,1,7,2,1,2,3,3,,1,,1,1,,,
2020-KW34,1,8,6,10,6,16,6,5,7,6,4,2,1,,,,,
2020-KW35,5,5,7,6,19,15,9,7,6,5,5,6,1,2,,,,
2020-KW36,4,5,6,11,15,4,13,5,10,3,,1,2,,,,,
2020-KW37,4,2,9,8,10,7,4,7,3,5,3,1,,,,,,
2020-KW38,2,4,7,9,4,8,9,3,4,4,10,3,,1,1,1,2,
2020-KW39,2,1,4,2,6,5,4,,3,2,4,3,2,,,1,1,
2020-KW40,1,,2,2,12,11,10,6,5,4,6,2,5,,3,2,1,
2020-KW41,1,1,4,7,19,11,9,4,4,12,10,5,4,1,2,2,9,
2020-KW42,12,9,31,40,36,31,27,26,26,28,25,20,8,7,11,18,22,
2020-KW43,12,28,28,39,63,59,54,33,39,40,24,36,20,8,8,14,19,
2020-KW44,25,38,43,66,107,94,85,61,76,74,74,61,36,30,27,31,67,
2020-KW45,20,32,32,73,110,95,83,80,52,75,78,66,45,34,19,27,63,
2020-KW46,15,21,39,71,70,101,97,90,57,72,64,68,42,25,17,25,68,
2020-KW47,7,17,24,38,91,64,49,44,71,53,54,58,49,21,33,24,97,
2020-KW48,18,38,31,41,85,79,75,63,53,70,62,38,36,18,12,19,58,
2020-KW49,24,20,40,31,57,60,58,51,47,60,45,49,40,15,18,29,69,
2020-KW50,16,22,22,25,50,52,53,53,41,41,40,59,53,23,16,21,97,
2020-KW51,19,30,15,30,66,63,55,55,69,46,43,59,36,19,23,27,125,
2020-KW52,6,16,18,23,49,54,45,33,45,32,40,36,30,17,11,22,47,
2020-KW53,10,11,20,16,39,44,44,37,35,52,38,38,27,11,12,8,42,
2021-KW01,6,15,18,26,41,54,41,33,42,30,39,29,18,14,11,10,30,
2021-KW02,7,8,7,21,34,45,33,27,35,38,27,35,36,11,12,10,27,
2021-KW03,7,11,10,21,26,34,15,24,25,25,38,32,13,15,14,11,36,
