# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-07-10 08:43:12
# API-Download für Covid19-Fälle in LK Südliche Weinstraße, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,1,,,,2,3,3,,,,,,
2020-KW12,1,,,,2,1,1,1,3,2,8,2,2,,,,1,
2020-KW13,1,,1,1,4,1,2,5,2,3,6,2,3,4,,1,,
2020-KW14,1,1,1,1,2,5,1,6,4,3,4,3,4,2,1,2,4,
2020-KW15,,,,,,,1,,,1,1,3,2,3,,,,
2020-KW16,,,,,,1,1,,1,1,1,,1,,,,1,
2020-KW17,,,,,,,,,1,,2,,,,,,,
2020-KW18,,,1,,,1,1,,,1,,,,,,,,
2020-KW19,,,,,1,,,,,,,,,,,,1,
2020-KW22,,,,,,,,,,,,,,,,,1,
2020-KW25,,,1,,,,,,1,1,,,,,,,,
2020-KW30,,,,,,,,,,,,1,,,,1,,
2020-KW32,1,1,1,,,,1,1,,,,,,,,,,
2020-KW33,,,2,,,,,1,1,,1,,,,,,,
2020-KW34,,,1,2,,,,,,1,1,,,,,,,
2020-KW35,,,1,,,,,,,,,,,,,,,
2020-KW37,,,,1,2,,,,3,1,,1,,,,,,
2020-KW38,,1,,,,,1,,1,2,,,,,,,,
2020-KW39,,,,3,,,1,1,,,2,1,,,,1,,
2020-KW40,,,,,1,1,,,,1,1,,,,,,,
2020-KW41,,,,3,1,,,1,2,1,,,,,,,,
2020-KW42,3,,1,,2,1,,2,1,1,,,2,,,,,
2020-KW43,2,7,1,3,2,6,4,2,7,13,7,7,6,2,4,1,2,
2020-KW44,1,4,7,13,9,2,10,2,16,9,14,11,6,3,5,3,2,
2020-KW45,7,7,9,10,5,8,5,3,14,10,13,16,13,3,2,5,8,
2020-KW46,11,8,7,9,4,10,9,15,9,9,9,13,8,7,5,2,3,1
2020-KW47,,4,5,3,4,11,7,2,4,5,7,10,5,2,2,3,5,
2020-KW48,5,1,3,9,12,7,12,3,8,10,9,10,7,7,4,6,26,
2020-KW49,,1,4,3,10,9,6,8,6,6,6,14,12,5,3,5,18,
2020-KW50,2,,,10,11,11,8,8,8,11,15,18,9,8,6,4,21,
2020-KW51,2,3,9,8,5,16,6,6,5,8,20,16,6,2,3,1,21,
2020-KW52,2,2,2,2,8,10,11,7,10,13,14,11,7,3,2,5,27,
2020-KW53,,2,3,5,6,8,4,9,14,9,16,13,8,8,6,3,15,
2021-KW01,2,3,1,4,10,8,5,7,6,8,19,13,12,6,8,6,17,
2021-KW02,2,3,3,6,9,9,13,10,13,14,13,14,18,7,7,8,57,
2021-KW03,3,2,7,2,5,7,11,13,17,7,11,15,16,8,12,13,57,
2021-KW04,2,2,4,6,2,9,11,8,3,6,9,16,11,5,4,4,28,
2021-KW05,,1,1,5,11,2,9,4,3,7,10,10,8,5,1,1,15,1
2021-KW06,1,2,2,5,1,1,3,3,3,3,4,2,6,2,3,1,4,
2021-KW07,,1,3,3,5,6,2,2,1,3,4,5,2,2,2,2,1,
2021-KW08,1,,1,3,1,8,1,5,4,,1,1,2,2,1,,2,
2021-KW09,1,2,1,,3,2,8,2,10,11,10,7,3,1,1,,2,
2021-KW10,2,2,3,2,2,3,5,5,3,,2,7,1,4,5,,2,
2021-KW11,1,7,,2,5,5,6,8,7,3,8,7,4,4,2,1,,
2021-KW12,,5,3,6,11,7,6,5,4,6,10,11,2,3,2,2,1,
2021-KW13,5,3,6,10,10,3,3,7,4,7,14,12,5,5,5,2,2,
2021-KW14,2,2,6,4,8,4,4,7,5,7,7,12,10,2,3,1,4,
2021-KW15,3,6,4,4,5,6,5,10,12,7,9,11,9,15,7,4,9,
2021-KW16,10,15,5,10,13,7,11,8,10,6,11,8,10,5,5,3,3,
2021-KW17,8,10,9,10,14,11,17,15,13,11,20,11,17,5,8,3,4,
2021-KW18,6,8,1,7,9,4,8,14,12,11,8,7,5,6,4,1,,
2021-KW19,3,8,10,3,3,6,6,9,10,8,7,2,5,4,2,,4,
2021-KW20,3,11,9,12,3,2,1,6,4,5,9,1,,1,,1,1,
2021-KW21,1,3,1,,1,,,,3,3,2,2,3,1,,,,
2021-KW22,,1,,,1,3,1,2,1,1,3,,,,,,,
2021-KW23,,,1,1,1,,,,,1,,1,,,,,,
2021-KW24,,1,,1,1,,,,,,1,,1,,,,,
2021-KW25,,,,,,,,,,1,,,,,,,,
2021-KW27,,,,1,,,,,,,,,,,,,,
2021-KW28,,,2,,3,,,,,,,1,,,,,,
2021-KW29,8,11,19,4,,2,1,2,5,2,1,1,1,,,,,
2021-KW30,3,2,2,,1,2,3,2,3,3,1,1,,,1,,,
2021-KW31,2,3,2,3,1,,,2,3,,2,,,,,,,
2021-KW32,1,4,2,,5,2,1,3,1,2,,1,,,,,,
2021-KW33,3,1,1,4,4,,2,1,1,1,1,1,,,,,,
2021-KW34,2,3,7,4,4,3,5,3,5,2,3,2,2,,,,3,
2021-KW35,6,7,11,7,8,5,9,7,5,4,,3,2,2,,,,
2021-KW36,1,3,5,7,7,3,3,3,5,5,9,2,1,,1,,3,
2021-KW37,1,6,10,3,6,2,3,3,,9,4,6,7,,1,,2,
2021-KW38,,9,3,3,4,,4,5,3,1,5,2,2,2,1,,2,
2021-KW39,4,3,22,3,2,7,8,6,1,5,6,4,1,2,2,2,4,
2021-KW40,2,18,6,3,4,5,5,7,5,12,12,6,5,2,7,1,5,
2021-KW41,3,5,7,2,6,7,9,5,7,8,5,5,3,3,4,3,3,
2021-KW42,2,7,6,3,7,5,11,7,7,10,11,10,8,5,3,2,2,
2021-KW43,3,14,6,8,6,7,3,11,15,15,6,12,9,7,4,2,5,
2021-KW44,19,42,20,17,19,8,17,21,17,17,8,22,10,9,7,4,7,
2021-KW45,9,26,47,37,18,26,24,25,34,33,25,36,20,20,11,8,10,
2021-KW46,15,62,78,27,26,19,39,42,42,29,46,56,32,17,19,16,21,
2021-KW47,25,79,71,27,24,35,45,47,38,39,34,56,42,25,19,23,36,
2021-KW48,49,65,62,32,20,37,41,62,47,50,43,37,30,17,19,14,25,1
2021-KW49,20,37,35,22,20,34,34,38,44,25,26,31,22,17,14,8,17,
2021-KW50,22,66,33,11,22,20,29,34,22,15,20,21,22,9,5,4,10,
2021-KW51,9,24,19,11,10,11,26,22,13,21,25,13,9,5,3,4,3,
2021-KW52,5,15,14,17,23,23,24,22,13,21,16,20,16,3,4,2,3,
2022-KW01,9,21,21,34,49,39,31,16,29,20,20,21,19,7,3,1,3,
2022-KW02,31,37,28,15,16,39,37,36,32,24,24,26,16,10,3,3,9,
2022-KW03,45,64,51,45,50,44,54,70,52,40,30,40,24,17,10,6,13,
2022-KW04,54,94,72,96,62,53,90,69,64,60,56,36,28,19,8,7,13,
2022-KW05,98,147,108,100,65,89,115,146,127,99,92,98,69,25,14,15,16,1
2022-KW06,38,97,62,49,52,50,74,67,57,41,46,36,29,10,13,3,15,1
2022-KW07,30,110,81,61,53,39,66,77,74,62,48,61,29,25,16,9,31,2
2022-KW08,24,75,81,59,68,63,79,69,61,52,73,53,43,25,15,11,27,17
2022-KW09,46,90,105,98,100,78,104,118,107,107,76,95,47,20,20,8,23,6
2022-KW10,36,103,132,81,92,105,89,113,107,104,122,101,57,33,24,13,32,5
2022-KW11,70,122,125,114,132,133,150,167,156,125,166,153,92,61,39,27,40,2
2022-KW12,72,153,155,155,135,144,167,187,153,141,180,142,118,55,38,26,51,5
2022-KW13,50,124,118,91,115,120,121,149,117,126,131,143,108,55,51,28,32,4
2022-KW14,61,94,83,93,105,93,122,123,131,80,123,142,96,54,44,23,53,
2022-KW15,48,87,92,80,84,97,104,124,104,119,102,114,72,46,54,27,44,7
2022-KW16,39,83,77,102,84,72,96,128,108,111,130,120,84,38,42,17,34,1
2022-KW17,32,62,69,72,88,73,89,90,87,78,110,97,85,35,36,20,29,2
2022-KW18,33,62,62,66,87,90,81,98,94,108,97,110,77,38,24,15,17,2
2022-KW19,20,38,42,41,47,56,77,59,58,57,65,73,36,22,19,7,11,
2022-KW20,5,26,32,29,28,22,48,50,23,24,43,35,27,5,15,8,11,
2022-KW21,4,5,15,10,10,13,16,17,19,9,14,14,14,9,3,1,7,
2022-KW22,2,5,13,13,19,20,32,21,13,25,29,24,21,8,6,4,7,
2022-KW23,9,20,14,17,20,31,32,42,25,28,33,33,29,12,7,5,20,
2022-KW24,4,14,14,33,33,31,36,33,38,29,43,48,34,17,12,9,8,
2022-KW25,7,17,40,34,70,67,51,43,52,54,82,80,55,25,14,5,8,
2022-KW26,10,23,32,35,31,30,55,35,39,47,57,64,42,41,27,15,13,
2022-KW27,8,14,26,19,23,28,50,58,43,56,49,60,40,37,15,14,18,1
