# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-05-18 06:56:38
# API-Download für Covid19-Fälle in LK Vorpommern-Greifswald, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,,,2,,,,,
2020-KW11,,,,,,,,,,,1,,,,1,,,
2020-KW12,,,,,3,7,2,3,1,,4,2,1,2,,,,
2020-KW13,,,,1,1,3,,1,,2,5,3,2,,1,1,7,
2020-KW14,,1,,1,4,,1,,2,,1,1,5,,,4,5,
2020-KW15,,,,,,,,,1,2,3,1,2,5,1,3,9,
2020-KW16,,,,,1,1,2,,,,3,1,1,1,,1,1,
2020-KW17,,,,,,,,,,,3,,,3,,,2,
2020-KW18,,,,1,,,,,,1,1,,,1,,,3,
2020-KW19,,,,,,,,,,,,1,,,,,,
2020-KW22,,,,,,,,,,,1,,,,,,,
2020-KW23,,,,,,,1,,,,,,,,,,,
2020-KW25,,,,,,1,,,,,,,,,,,,
2020-KW27,,,,,,,,,,,,,1,,,,,
2020-KW29,,3,,,,,,,,1,,1,,,,,,
2020-KW31,,,,,1,,,,2,,,,,,,,1,
2020-KW32,,,,2,1,2,1,1,2,,2,,,,,,,
2020-KW33,,,,,,,,1,,,,1,,,1,,,
2020-KW34,,,,,1,1,,,1,1,,,,,,,,
2020-KW37,,,,1,1,2,1,3,,,,,,,,,,
2020-KW38,,,,,,,,1,,,,,,,,,,
2020-KW39,,,,,2,,,,,,,,2,,1,1,1,
2020-KW40,,,,,1,4,3,3,2,1,1,,1,,,1,,
2020-KW41,1,,,5,,3,1,2,1,4,3,1,1,1,2,,1,
2020-KW42,1,6,,2,1,,5,2,,2,3,1,2,6,,,3,
2020-KW43,3,3,8,4,7,3,4,10,5,8,14,9,8,,,1,4,
2020-KW44,1,2,9,19,12,3,3,9,17,15,10,14,9,14,12,8,8,
2020-KW45,3,10,13,9,11,8,13,23,22,14,17,19,18,7,3,3,3,
2020-KW46,2,3,11,22,4,5,16,10,4,19,14,21,18,6,8,11,7,
2020-KW47,3,6,1,9,6,6,6,4,9,6,18,25,25,13,3,8,22,
2020-KW48,2,5,3,9,5,16,24,14,6,7,19,21,22,4,6,11,25,
2020-KW49,5,11,9,8,5,8,8,9,16,10,11,18,18,5,5,4,20,
2020-KW50,5,12,11,7,6,7,25,17,23,22,22,32,18,15,6,6,39,
2020-KW51,5,14,12,12,6,10,9,16,14,17,20,15,21,6,6,10,50,
2020-KW52,8,12,15,19,10,8,21,25,24,22,25,27,27,13,7,2,23,
2020-KW53,8,7,11,10,12,10,22,25,22,28,20,35,25,14,9,9,39,
2021-KW01,4,2,6,10,14,4,29,14,8,13,18,25,19,16,13,8,32,
2021-KW02,9,7,12,8,27,10,34,31,25,28,41,40,40,23,15,21,101,
2021-KW03,7,9,16,21,21,7,29,23,35,47,35,54,36,23,15,16,77,
2021-KW04,2,6,8,9,11,17,23,23,19,31,30,34,34,14,9,22,97,
2021-KW05,17,20,8,21,18,18,36,34,22,29,32,53,37,24,21,15,93,
2021-KW06,16,18,12,18,19,18,25,33,36,28,48,40,40,26,13,17,36,
2021-KW07,16,16,16,11,20,17,28,29,23,34,36,38,37,27,9,14,60,1
2021-KW08,9,12,5,15,14,9,25,23,26,28,28,29,31,26,11,16,44,
2021-KW09,8,7,6,15,13,8,17,12,18,23,26,25,20,11,2,4,27,
2021-KW10,6,16,7,10,15,15,20,20,18,24,29,25,19,21,19,6,32,
2021-KW11,14,11,13,11,9,16,28,19,25,24,37,37,34,15,10,9,38,
2021-KW12,26,18,24,20,17,16,24,37,37,21,43,43,42,18,15,15,40,
2021-KW13,25,15,9,14,16,11,40,34,21,28,28,55,35,23,11,13,35,
2021-KW14,25,25,18,13,18,15,35,36,24,29,31,48,39,38,18,22,16,
2021-KW15,25,25,16,34,23,23,34,44,49,29,46,60,33,32,16,20,30,
2021-KW16,21,24,22,22,14,14,26,25,33,32,40,30,41,26,10,11,21,
2021-KW17,21,24,16,16,14,7,27,27,33,21,21,41,26,17,9,7,13,
2021-KW18,10,13,23,15,13,12,18,22,17,23,18,20,21,15,11,13,10,
2021-KW19,13,8,9,7,4,8,10,21,6,10,19,20,15,8,8,8,5,
2021-KW20,1,1,1,,,,,,1,1,1,2,2,,2,,1,
