# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-06-09 08:44:07
# API-Download für Covid19-Fälle in LK Schwalm-Eder-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,1,2,1,3,1,4,2,1,2,,,,,
2020-KW12,1,,,3,10,1,4,3,5,7,9,7,4,,1,,,
2020-KW13,1,2,1,2,7,1,3,3,5,10,7,7,8,3,4,2,21,
2020-KW14,,,,,8,4,3,3,8,9,11,11,10,5,5,8,29,
2020-KW15,,,,3,4,6,3,4,4,7,11,9,5,2,1,3,16,
2020-KW16,1,,,4,4,3,6,8,3,6,2,12,3,3,3,5,10,
2020-KW17,,1,,,1,2,3,3,,2,2,4,2,,1,1,5,
2020-KW18,,1,1,2,,,5,,1,3,2,3,1,4,1,,2,
2020-KW19,1,1,,,3,1,3,2,3,,1,1,,,2,1,,
2020-KW20,,,1,,1,2,1,1,,,1,1,,,,1,,
2020-KW21,1,1,,,,5,1,2,1,,,1,,,,,,
2020-KW22,,,,1,1,1,1,,,,,,,,,1,,
2020-KW23,,1,,1,1,,,,1,,,,,2,,,,
2020-KW24,,,,,,,,,,,,,1,,,,,
2020-KW25,,2,,,,,,1,,,,,,,1,,,
2020-KW26,,,,2,3,,1,3,,1,,2,,,,,,
2020-KW27,,,,1,1,1,2,1,,,1,1,,,,,,
2020-KW28,,,,,,2,1,2,1,,,1,1,,,,,
2020-KW29,,,1,,1,1,3,,2,,,1,,,,,2,
2020-KW30,,,,,2,,,1,,,,1,,,1,3,7,
2020-KW31,1,2,1,,1,2,2,,2,,,2,,1,,,7,
2020-KW32,,,,1,,,,,1,,,,,,,,,
2020-KW33,,,,,,,1,,,,,,,,,,,
2020-KW34,1,1,3,7,2,3,3,2,,,,1,1,1,,,,
2020-KW35,,,,,1,1,1,2,1,,,,,,,,,
2020-KW36,,,,,,1,1,,2,,,,1,,,,,
2020-KW37,,,,,,,1,,,1,1,1,,,,,,
2020-KW38,,,,,,1,,1,2,1,3,,1,1,,,,
2020-KW39,2,2,,2,5,3,1,1,,1,,1,,,,,,
2020-KW40,,1,,4,1,1,,2,,1,,2,1,,,,,
2020-KW41,,,,1,2,3,3,1,4,2,4,3,1,,,2,1,
2020-KW42,2,1,,2,8,1,8,3,2,6,6,5,7,1,,1,1,1
2020-KW43,4,1,4,6,5,6,9,5,6,13,8,13,5,1,3,6,5,1
2020-KW44,5,3,6,13,10,13,16,6,16,15,16,9,7,5,5,5,3,
2020-KW45,,3,8,13,16,15,10,9,16,13,14,6,12,5,6,3,13,
2020-KW46,1,2,5,12,15,16,20,12,14,12,11,24,17,6,6,6,24,
2020-KW47,1,1,5,7,17,16,11,12,16,13,20,16,8,7,6,10,20,
2020-KW48,,6,8,14,17,23,19,21,20,17,24,28,21,5,10,10,36,
2020-KW49,,2,7,7,17,16,12,25,21,18,22,19,18,4,7,4,17,
2020-KW50,3,1,5,10,12,17,27,23,24,17,21,30,24,15,12,17,63,3
2020-KW51,4,3,10,17,33,32,28,31,32,30,32,48,34,15,7,18,85,
2020-KW52,4,3,2,17,8,21,20,18,21,17,25,27,24,12,15,15,43,
2020-KW53,2,8,6,8,20,13,16,7,16,12,17,17,13,12,9,7,24,
2021-KW01,2,5,3,7,18,13,12,15,10,11,15,24,11,10,9,14,44,1
2021-KW02,4,4,4,5,12,9,12,11,8,8,9,13,15,7,5,4,41,
2021-KW03,,1,3,6,17,14,11,13,11,13,19,19,12,13,5,6,53,
2021-KW04,2,2,3,9,10,12,17,8,11,13,16,12,17,12,5,6,26,
2021-KW05,1,3,3,9,3,9,15,13,8,8,12,25,16,11,6,10,26,
2021-KW06,,1,2,3,9,6,6,5,4,8,13,11,10,3,9,3,14,
2021-KW07,1,1,2,5,1,6,6,3,4,3,7,7,1,6,5,2,13,
2021-KW08,1,,1,4,2,5,4,7,5,2,7,6,6,3,3,5,16,
2021-KW09,,5,3,,4,1,3,3,3,5,7,13,7,1,1,4,4,
2021-KW10,1,2,,5,1,7,6,8,5,3,8,5,4,,,2,2,
2021-KW11,4,2,3,6,6,12,3,8,10,8,15,8,9,9,7,3,1,
2021-KW12,2,6,5,6,14,10,14,9,12,15,19,15,6,10,3,1,3,1
2021-KW13,3,2,6,9,10,16,12,7,6,9,10,10,3,2,4,3,8,
2021-KW14,5,3,4,7,16,22,27,17,8,19,17,18,23,9,7,4,7,
2021-KW15,5,8,3,16,18,14,16,14,14,14,16,20,7,9,2,3,6,
2021-KW16,7,12,18,18,18,10,13,24,19,22,25,26,7,12,9,6,18,
2021-KW17,4,7,9,12,15,25,18,17,12,20,25,20,12,6,5,9,9,
2021-KW18,7,16,16,14,14,20,19,23,20,21,23,26,21,8,8,3,8,1
2021-KW19,5,11,10,11,17,14,8,15,16,15,17,16,11,6,6,3,5,
2021-KW20,7,9,16,8,7,7,15,11,13,6,17,14,14,13,4,1,9,
2021-KW21,2,7,8,1,4,4,10,9,1,4,4,2,1,1,,,1,
2021-KW22,,5,6,3,2,1,2,2,3,1,1,3,4,2,1,,1,
2021-KW23,1,1,1,,1,1,1,1,3,3,1,1,,,,1,,
2021-KW24,,1,1,,,,,,,,,,1,,,,,
2021-KW26,,,,,3,,,,1,,,,1,,,,,
2021-KW27,,,,1,2,1,,,,,,1,,,,,,
2021-KW28,,,,5,6,1,1,,,1,,,,,,,,
2021-KW29,1,1,,1,4,7,4,2,3,2,,,,1,1,,,
2021-KW30,,,,2,2,,2,1,1,1,,1,1,,,,,
2021-KW31,,1,2,4,9,4,1,5,2,2,2,1,,1,,,,
2021-KW32,2,,2,2,8,5,3,4,2,2,3,,4,,,,1,
2021-KW33,,2,9,6,5,4,11,4,6,4,7,2,1,,,,,
2021-KW34,1,3,5,8,6,7,6,9,5,5,6,5,3,1,,2,2,1
2021-KW35,1,11,15,12,10,3,10,13,6,1,2,2,,2,2,2,2,
2021-KW36,1,16,14,5,10,7,12,9,12,14,14,5,8,3,1,,9,
2021-KW37,,6,10,10,6,19,6,2,6,12,2,2,2,,4,,6,
2021-KW38,,4,12,7,7,5,7,7,4,4,9,9,2,2,,,7,
2021-KW39,1,5,4,2,4,4,9,6,3,8,14,9,4,1,1,,,
2021-KW40,,3,2,1,3,1,7,5,4,7,6,2,5,3,1,1,4,
2021-KW41,7,3,6,5,5,3,4,9,2,5,8,3,6,2,2,1,2,
2021-KW42,2,9,6,3,4,9,11,8,3,6,5,9,7,4,1,1,2,
2021-KW43,5,13,24,18,9,11,7,16,15,17,10,6,12,4,5,7,11,
2021-KW44,,3,14,24,8,6,13,5,8,12,11,8,7,9,15,9,18,
2021-KW45,9,10,19,11,13,8,13,11,9,14,13,19,8,7,10,5,19,
2021-KW46,4,7,12,6,8,16,10,21,23,13,17,29,13,8,7,11,24,
2021-KW47,2,21,22,18,18,21,11,21,23,24,26,22,20,10,18,22,17,
2021-KW48,7,39,47,22,28,23,33,25,26,24,23,30,27,17,13,11,7,
2021-KW49,15,36,27,23,12,19,23,24,20,22,15,16,20,6,10,2,9,2
2021-KW50,9,27,20,19,12,14,21,23,21,16,22,9,4,7,5,4,10,
2021-KW51,2,18,7,12,11,12,19,13,20,11,20,10,12,6,2,1,1,
2021-KW52,7,15,22,5,11,13,16,15,20,16,15,9,10,7,7,2,16,
2022-KW01,10,30,25,29,30,28,33,25,22,28,21,33,16,10,3,6,22,
2022-KW02,35,56,69,79,65,52,66,61,54,42,46,42,28,9,8,4,6,
2022-KW03,57,167,126,167,146,135,137,124,96,100,83,73,52,29,15,13,43,3
2022-KW04,63,241,250,175,168,184,181,219,166,135,129,113,85,33,18,8,20,12
2022-KW05,54,243,278,187,173,148,202,225,230,155,165,131,87,32,34,19,31,19
2022-KW06,52,161,195,193,130,128,167,210,169,149,113,115,62,41,32,17,45,6
2022-KW07,44,116,138,105,123,134,143,160,161,140,111,96,88,57,27,11,56,2
2022-KW08,44,117,116,100,93,102,127,123,125,118,97,96,62,27,26,18,82,1
2022-KW09,63,143,125,77,72,108,147,153,127,72,100,108,76,45,23,16,49,3
2022-KW10,100,186,151,165,148,142,180,187,157,120,154,127,125,40,40,18,57,2
2022-KW11,67,186,177,184,162,173,206,227,180,150,173,165,108,61,31,36,55,2
2022-KW12,84,186,262,246,203,205,228,261,233,206,235,225,158,93,91,49,94,8
2022-KW13,65,208,242,256,225,178,232,255,240,198,271,207,187,105,95,50,80,4
2022-KW14,64,139,186,165,165,159,172,193,185,168,192,193,123,52,57,38,64,7
2022-KW15,56,103,74,112,140,136,117,151,157,129,169,160,124,57,42,22,46,8
2022-KW16,37,91,101,143,230,243,197,213,217,194,271,266,161,95,55,41,70,
2022-KW17,24,73,111,115,142,135,142,128,113,125,187,140,110,52,46,17,60,4
2022-KW18,41,88,69,70,85,97,105,145,99,107,122,137,110,61,28,20,44,7
2022-KW19,20,66,71,70,68,100,100,92,109,78,102,104,95,38,31,13,38,3
2022-KW20,15,41,58,57,64,48,65,77,73,71,85,71,52,30,25,12,25,4
2022-KW21,9,22,18,46,41,43,37,32,37,42,41,49,34,19,15,4,6,
2022-KW22,4,13,23,75,83,77,77,48,56,56,67,62,56,23,12,7,14,2
2022-KW23,8,3,10,25,33,24,25,15,14,31,27,25,17,6,9,6,7,
