# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-04-03 08:35:18
# API-Download für Covid19-Fälle in LK Rottal-Inn, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,1,,2,1,,,,1,3,4,1,,1,1,,
2020-KW12,,,5,1,4,2,3,2,6,6,8,7,6,3,4,2,6,
2020-KW13,3,2,3,5,6,4,5,12,9,16,15,14,10,4,9,10,17,
2020-KW14,2,,2,6,9,8,18,14,14,20,26,34,21,11,13,15,23,
2020-KW15,,,2,3,10,8,13,6,8,6,22,17,16,9,4,8,27,
2020-KW16,,,,4,4,3,,6,4,7,4,4,3,3,,4,8,
2020-KW17,,,,5,1,,2,,1,3,,,1,,1,1,2,
2020-KW18,,,,,2,1,,,1,1,1,3,,1,1,1,,
2020-KW19,,,1,,,,,2,1,1,3,3,,,,1,5,
2020-KW20,,1,,,,,,1,1,,3,,1,,1,1,2,
2020-KW21,,,,,,,,,1,,,1,,,,,,
2020-KW26,,,,,,,1,,,,,,,,,,,
2020-KW27,,,,,,1,,,,,,,,,,,,
2020-KW28,,,,,,,,,,1,,,,,,,,
2020-KW30,1,,,2,,,,1,,,,,,,,,,
2020-KW31,,,,,,,,,,,,,,1,,,,
2020-KW32,,1,,,1,,1,,,,1,,,,1,,,
2020-KW33,,,,,,,1,,,2,,,1,,,,,
2020-KW34,,1,2,4,6,1,1,,2,,1,3,,,,1,3,
2020-KW35,,,,3,3,1,2,,,1,2,2,2,1,,,,
2020-KW36,1,1,,,2,2,,,,1,,,,,,,,
2020-KW37,,3,,1,3,6,1,,1,3,1,3,3,1,1,,,
2020-KW38,,,,3,2,2,4,2,2,2,2,2,,2,,,,
2020-KW39,,1,1,3,2,4,1,2,,,1,,,1,,,1,
2020-KW40,2,,1,1,,,2,4,1,,1,2,2,,,,5,
2020-KW41,1,1,1,3,4,7,5,5,2,4,1,3,1,,2,3,5,
2020-KW42,6,2,8,8,12,11,9,5,8,9,10,7,3,1,1,,16,
2020-KW43,8,11,28,32,34,28,17,17,15,25,36,35,14,13,11,1,11,
2020-KW44,14,21,22,23,45,24,16,26,21,29,48,24,17,15,13,6,13,
2020-KW45,3,7,12,10,22,15,18,19,14,23,22,31,19,10,9,7,8,
2020-KW46,6,1,1,6,23,15,14,12,10,14,21,17,13,7,4,4,12,
2020-KW47,3,4,9,16,30,22,10,18,10,17,22,17,14,5,4,4,20,
2020-KW48,6,5,9,13,22,11,18,11,13,20,23,19,11,7,4,2,12,
2020-KW49,1,2,5,6,11,12,7,14,12,16,11,12,9,2,3,6,17,
2020-KW50,3,3,8,14,17,21,12,19,15,16,25,28,20,8,2,13,33,
2020-KW51,9,5,8,17,31,21,15,8,20,33,33,27,24,6,6,11,32,
2020-KW52,3,7,6,15,21,9,13,12,15,9,19,16,8,6,7,4,10,
2020-KW53,6,3,14,19,31,20,19,18,23,26,23,19,19,16,12,14,32,
2021-KW01,4,12,11,18,27,22,16,19,13,29,32,30,26,10,9,11,30,
2021-KW02,3,2,4,14,24,21,15,17,10,25,23,19,17,17,6,12,54,
2021-KW03,8,8,7,6,8,14,15,14,10,8,7,16,13,9,6,7,24,
2021-KW04,3,3,10,8,11,22,12,11,9,20,13,14,5,4,4,2,12,
2021-KW05,5,2,5,10,23,13,16,9,9,10,13,24,8,6,8,2,14,
2021-KW06,5,2,3,4,9,12,8,8,8,4,6,9,10,4,5,7,18,
2021-KW07,1,3,2,3,6,11,9,4,9,7,10,11,12,2,3,2,5,
