# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-02-26 07:41:24
# API-Download für Covid19-Fälle in SK Braunschweig, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,1,,,,,,,,,,,,,
2020-KW11,,,,,,,,,1,1,1,2,1,1,,,,
2020-KW12,2,,,2,1,3,4,4,6,8,3,4,5,1,2,2,1,
2020-KW13,1,1,,2,5,12,12,4,5,1,11,9,13,3,1,4,4,
2020-KW14,3,1,3,,5,3,4,4,7,3,8,11,6,8,5,9,6,
2020-KW15,,,1,1,1,2,2,3,6,5,2,1,3,1,1,2,13,
2020-KW16,,1,,,2,,3,1,1,1,1,1,,,,3,3,
2020-KW17,,,,,,1,,,,1,1,2,1,1,2,,1,
2020-KW18,,,,,,1,1,,,,,2,1,,,,1,
2020-KW19,,,1,,,1,,,3,,3,1,,,,,,
2020-KW20,,,,,1,3,,,1,1,,,,2,,2,,
2020-KW21,,,,,,,,,,,,,1,,,,,
2020-KW22,,,,,1,,,,,,,1,1,,,,,
2020-KW23,,,,,,,,,,1,,,,,,,,
2020-KW25,,,,,2,,,,,,,,,,,,,
2020-KW26,,,,,,1,,,,2,,1,,,,,,
2020-KW27,1,1,2,1,1,1,3,1,2,1,,,,,,,,
2020-KW28,,,,,,,,,,,1,,,,,,,
2020-KW30,,,,,,,,,,1,,1,,,,,,
2020-KW31,,,,,2,,,,,,,1,,,,,,
2020-KW32,,,,1,,,1,2,1,1,2,,,,,1,,
2020-KW33,,,,1,,4,1,1,,,,,,,,,1,
2020-KW34,,,,1,2,2,5,,,,1,1,1,,,,,
2020-KW35,,1,2,,1,3,3,3,1,,1,4,,,,,,
2020-KW36,1,,1,,2,,3,,1,2,1,1,,,,,,
2020-KW37,,,,,2,4,1,1,,1,1,1,,,,,,
2020-KW38,,,,2,5,2,2,1,,1,3,1,,1,,,,
2020-KW39,,,1,8,3,5,1,,2,2,,,,,,,,
2020-KW40,,,1,3,3,5,7,,3,1,,1,,,2,2,,
2020-KW41,1,,,1,3,4,7,2,1,3,4,5,6,1,,3,1,
2020-KW42,2,1,2,3,6,11,7,4,2,5,4,9,,2,1,1,,
2020-KW43,3,6,5,5,7,10,15,5,10,8,12,9,6,6,3,3,4,
2020-KW44,6,3,9,11,14,16,19,9,12,16,14,20,11,7,1,4,5,
2020-KW45,3,2,11,19,22,28,20,7,16,13,18,13,6,11,4,7,17,
2020-KW46,2,3,5,7,13,21,12,17,10,9,14,17,8,7,5,2,6,
2020-KW47,2,9,5,4,9,12,12,12,7,10,7,10,6,3,1,5,9,
2020-KW48,1,4,8,4,10,19,10,5,11,16,11,15,7,2,2,8,6,
2020-KW49,1,2,7,5,14,17,12,5,9,13,8,13,7,4,1,1,7,
2020-KW50,,3,3,,12,24,16,16,21,14,14,16,13,3,2,12,48,
2020-KW51,8,4,4,2,20,20,27,15,15,15,21,14,7,10,5,10,23,
2020-KW52,2,3,6,6,16,15,12,16,12,10,18,17,4,9,3,2,13,
2020-KW53,7,5,4,14,19,23,14,10,16,11,13,13,11,6,11,10,38,
2021-KW01,2,7,9,13,29,27,29,18,12,19,9,15,7,7,8,4,16,
2021-KW02,5,1,3,5,12,24,19,25,10,7,11,20,14,12,11,7,54,
2021-KW03,2,2,7,8,11,19,14,13,5,16,10,19,14,4,4,16,53,
2021-KW04,2,1,1,7,18,23,19,9,15,8,11,17,13,5,6,7,23,
2021-KW05,6,7,6,3,10,18,16,13,13,10,10,7,4,7,4,5,25,
2021-KW06,1,1,6,8,12,9,4,6,9,6,8,11,6,2,2,4,11,
2021-KW07,1,3,1,1,15,10,6,9,9,6,8,15,5,2,6,8,13,
2021-KW08,2,2,1,5,12,6,9,5,8,4,9,8,14,5,5,8,11,
2021-KW09,4,5,13,8,11,19,12,6,7,5,7,4,6,1,1,3,4,
2021-KW10,6,5,12,13,16,13,18,13,11,12,11,7,12,1,3,4,6,
2021-KW11,12,12,7,20,15,23,16,22,19,14,20,11,7,5,8,2,7,
2021-KW12,17,14,21,28,25,18,19,25,20,19,23,17,16,6,10,6,6,
2021-KW13,7,12,4,16,25,34,15,19,26,14,25,13,12,6,2,2,8,
2021-KW14,4,12,9,24,11,14,23,20,24,20,29,18,6,7,2,9,6,
2021-KW15,17,15,26,18,26,21,29,28,23,13,20,17,13,16,11,4,5,
2021-KW16,9,21,11,10,22,22,23,26,16,17,22,17,27,10,2,3,6,
2021-KW17,10,12,13,21,19,19,25,20,27,22,23,21,8,3,3,7,5,
2021-KW18,7,10,15,14,22,23,18,19,17,11,15,15,8,6,2,3,6,
2021-KW19,11,14,15,15,29,20,22,15,12,16,13,5,9,3,2,4,1,
2021-KW20,5,10,9,8,5,8,16,10,11,9,9,10,3,3,1,,2,
2021-KW21,3,2,5,1,4,8,7,4,3,8,3,4,2,,2,1,1,
2021-KW22,1,1,,2,3,4,4,1,2,1,,1,1,2,1,,1,
2021-KW23,1,,1,,2,2,,,1,1,,,,,,,,
2021-KW24,1,1,,1,3,1,3,1,1,1,1,,1,,,,1,
2021-KW25,1,1,2,1,1,3,1,,1,,1,,,,,,,
2021-KW26,,1,7,2,,3,3,3,2,2,2,,,,,,,
2021-KW27,1,4,3,,2,5,3,1,2,1,1,,1,,,,,
2021-KW28,,3,4,1,5,9,1,3,,1,,2,,,,,2,
2021-KW29,1,1,2,3,9,6,3,2,3,,,1,1,2,,,2,
2021-KW30,,1,2,12,8,6,4,1,1,2,1,1,2,2,,,1,
2021-KW31,,2,,8,12,9,4,2,1,3,5,1,1,1,,,1,
2021-KW32,1,,2,7,17,17,12,5,6,1,5,5,3,2,,1,1,
2021-KW33,4,8,12,3,15,8,14,12,6,5,6,3,5,,,,1,
2021-KW34,5,8,20,24,22,18,16,10,12,11,6,5,3,2,1,,1,
2021-KW35,4,17,19,10,19,19,9,16,18,13,6,6,3,,,1,2,
2021-KW36,2,9,20,17,26,16,15,14,7,15,3,8,3,3,3,2,1,
