# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-04-19 08:41:12
# API-Download für Covid19-Fälle in LK Gütersloh, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,1,2,4,2,6,6,11,5,3,1,2,,,
2020-KW12,,,2,3,7,10,12,7,12,18,48,20,10,4,1,3,1,
2020-KW13,,1,,4,4,6,9,9,14,10,16,23,14,6,4,5,8,
2020-KW14,,1,2,3,11,4,4,4,3,9,19,13,7,5,5,2,6,
2020-KW15,,1,1,3,4,2,3,8,7,9,10,9,7,2,4,1,12,
2020-KW16,,,,4,2,,,3,4,3,8,6,4,2,2,2,7,
2020-KW17,,,,2,1,2,3,3,,,1,3,3,2,,2,2,
2020-KW18,,,,,1,1,,,1,,,3,,,,,2,
2020-KW19,,,,,,1,,,2,,,,,,,,2,
2020-KW20,,1,,,1,,3,,2,1,3,,3,,,,2,
2020-KW21,,,,1,,2,4,10,1,5,1,,1,,,,1,
2020-KW22,,2,2,2,3,4,3,4,8,5,2,1,,1,,,,
2020-KW23,2,2,,1,4,3,2,,4,5,,3,,1,,,,
2020-KW24,,,1,2,17,11,13,6,20,6,11,4,,,,,1,
2020-KW25,4,,5,32,125,107,133,162,178,156,120,42,24,5,2,,3,
2020-KW26,8,11,7,21,34,47,35,38,52,42,39,21,4,3,,1,2,
2020-KW27,4,11,12,7,17,26,22,21,18,14,10,9,11,4,4,2,5,
2020-KW28,1,1,3,9,11,8,6,11,10,17,4,4,3,2,2,,,
2020-KW29,,2,5,2,2,5,7,7,10,1,2,,,,,,,
2020-KW30,3,,1,1,1,5,3,4,2,1,2,1,,,,,,
2020-KW31,1,2,2,3,6,2,2,5,1,6,2,1,2,,1,,1,
2020-KW32,2,5,5,1,11,1,2,4,5,4,7,1,,,1,2,,
2020-KW33,4,7,6,7,9,4,10,5,7,12,5,7,,1,1,1,2,
2020-KW34,2,3,1,3,11,3,5,4,8,1,4,2,1,1,,,,
2020-KW35,,1,1,1,3,3,3,3,1,2,3,1,,,,,,
2020-KW36,1,,,2,2,3,5,2,8,1,4,2,2,,1,1,,
2020-KW37,1,,,1,3,6,2,2,5,4,,4,3,1,,,1,
2020-KW38,1,,2,2,2,3,2,3,1,2,,,3,,,,,
2020-KW39,2,3,2,8,7,2,3,4,5,4,4,4,3,1,,1,1,
2020-KW40,2,4,1,,9,8,4,3,3,8,3,4,2,3,3,,2,
2020-KW41,2,,,5,8,8,13,7,7,10,12,7,9,3,3,3,4,
2020-KW42,9,4,3,5,22,17,20,8,10,19,27,19,15,7,2,2,9,
2020-KW43,11,11,16,30,41,33,38,28,29,25,26,25,20,12,7,8,9,
2020-KW44,20,21,34,37,52,43,52,47,50,46,52,44,33,22,16,15,16,
2020-KW45,16,24,33,58,71,56,50,49,55,48,59,65,35,29,22,20,33,
2020-KW46,9,20,40,60,59,46,46,43,55,60,71,60,37,23,9,16,44,
2020-KW47,13,27,22,59,62,73,55,49,52,67,62,66,49,23,13,13,48,
2020-KW48,15,20,27,45,52,45,51,48,46,61,74,57,39,15,8,9,35,
2020-KW49,34,26,39,50,61,60,51,41,48,39,59,61,35,15,12,15,46,
2020-KW50,13,12,19,56,83,64,44,43,44,43,57,64,48,17,10,12,38,
2020-KW51,16,22,37,53,74,72,49,67,63,78,73,74,58,30,13,36,132,
2020-KW52,16,15,19,35,56,43,50,48,70,54,71,65,74,31,13,20,65,
2020-KW53,5,13,15,29,55,46,52,47,46,53,56,80,39,22,26,18,104,
2021-KW01,8,12,11,33,58,58,69,40,40,39,68,64,49,24,13,25,96,
2021-KW02,6,10,10,28,41,27,40,34,27,18,46,29,17,17,8,9,32,
2021-KW03,7,4,15,19,29,20,27,27,23,26,33,34,29,5,5,8,28,
2021-KW04,3,6,7,12,29,26,26,20,21,36,31,34,24,9,8,8,38,
2021-KW05,5,12,12,15,20,18,18,19,15,18,28,18,21,5,3,3,12,
2021-KW06,1,1,4,12,24,11,18,12,21,17,10,18,13,3,3,1,21,
2021-KW07,6,4,6,11,13,14,17,8,15,11,24,20,13,6,4,8,10,
2021-KW08,3,8,12,14,15,20,17,15,28,19,24,11,12,4,5,8,8,
2021-KW09,6,14,8,10,12,25,27,19,15,19,19,14,10,5,4,4,9,
2021-KW10,12,5,10,15,24,21,23,14,27,23,21,19,18,8,4,3,6,
2021-KW11,7,12,13,18,38,20,27,23,16,19,23,26,12,8,1,1,9,
2021-KW12,19,23,23,47,42,39,51,46,36,49,38,43,19,7,7,3,16,
2021-KW13,26,26,23,30,47,48,41,21,33,41,49,36,26,13,5,4,6,
2021-KW14,28,25,37,37,43,54,53,55,40,36,45,38,26,14,12,7,4,
2021-KW15,45,55,47,61,48,62,62,78,52,66,51,54,37,23,9,8,10,
2021-KW16,51,47,41,58,60,68,62,60,56,53,69,71,41,19,10,12,22,
2021-KW17,43,49,41,46,45,44,64,55,59,53,51,49,39,11,14,13,12,
2021-KW18,28,30,47,32,55,56,56,51,54,45,46,40,20,13,9,8,4,
2021-KW19,18,30,33,32,37,35,31,29,29,37,32,36,25,3,5,3,5,
2021-KW20,18,30,27,22,30,31,27,29,34,31,36,36,22,11,5,1,10,
2021-KW21,13,17,14,22,16,20,27,16,17,26,16,25,12,7,2,,1,
2021-KW22,7,16,14,11,14,12,16,13,14,8,11,4,3,1,,1,,
2021-KW23,4,8,11,8,10,7,12,4,5,5,3,5,4,1,1,,1,
2021-KW24,1,2,5,1,1,1,3,2,2,4,,1,3,1,,,1,
2021-KW25,1,1,1,2,,,,2,,,1,2,2,,,,,
2021-KW26,,1,,1,,,1,1,,,,2,1,,,,,
2021-KW27,,1,,6,,3,1,,2,1,1,1,,2,1,,,
2021-KW28,1,,1,20,2,7,3,4,1,1,2,,1,1,,,1,
2021-KW29,1,2,2,9,12,4,6,2,2,2,7,3,,1,,2,,
2021-KW30,4,4,10,16,18,10,12,7,5,11,6,4,4,3,,1,3,
2021-KW31,7,8,13,24,20,23,17,13,6,8,4,7,6,4,,1,5,
2021-KW32,7,15,17,27,29,27,23,19,18,16,11,10,7,2,,1,,
2021-KW33,23,52,54,56,47,52,41,41,36,26,22,19,12,6,,3,5,
2021-KW34,26,58,81,72,56,36,31,55,40,46,24,24,15,8,7,4,6,
2021-KW35,34,58,58,50,29,39,37,33,29,28,29,11,6,7,2,6,4,
2021-KW36,20,28,55,22,23,22,36,32,30,21,21,18,11,5,3,4,12,
2021-KW37,10,21,25,22,29,28,21,19,23,24,17,9,7,6,7,5,6,
2021-KW38,9,18,17,13,14,23,29,16,21,10,11,13,9,5,2,,3,
2021-KW39,3,18,22,22,17,22,14,22,22,18,12,9,12,1,1,5,1,
2021-KW40,9,18,23,29,18,21,29,28,28,15,20,14,10,5,4,2,1,
2021-KW41,8,10,12,14,28,20,23,19,20,19,30,17,15,10,5,4,2,
2021-KW42,7,19,14,23,31,36,40,25,29,30,21,21,18,15,7,5,2,
2021-KW43,15,66,64,34,38,38,46,47,32,36,31,27,19,8,8,10,21,
2021-KW44,21,88,98,59,52,36,49,55,71,44,43,32,24,19,11,10,29,
2021-KW45,33,101,105,74,73,77,63,89,66,65,78,57,36,27,27,10,20,
2021-KW46,24,119,131,104,118,88,84,110,110,95,89,100,62,41,23,14,37,
2021-KW47,36,118,158,118,113,91,112,115,109,96,113,107,74,33,14,21,31,
2021-KW48,44,146,141,95,82,70,88,139,116,124,92,74,52,27,23,20,41,
2021-KW49,41,171,164,98,75,83,112,117,124,98,84,85,73,43,32,8,29,
2021-KW50,41,147,146,108,85,77,96,113,92,93,70,66,65,27,19,11,15,
2021-KW51,38,90,97,86,64,65,55,66,58,60,52,58,30,30,9,4,19,
2021-KW52,21,60,81,78,82,88,111,91,66,59,70,68,49,32,15,6,17,
2022-KW01,58,87,100,143,171,163,164,129,108,116,110,110,52,33,12,17,20,
2022-KW02,65,208,179,198,209,199,191,177,163,164,164,132,59,44,16,10,38,
2022-KW03,137,533,334,288,274,277,322,327,269,256,219,169,138,59,21,15,47,
2022-KW04,221,641,597,413,359,357,496,560,484,384,325,213,183,78,37,26,34,
2022-KW05,226,647,716,542,432,418,562,617,581,427,360,318,217,85,52,33,96,
2022-KW06,234,677,709,542,523,494,574,664,612,486,451,361,255,131,88,40,134,
2022-KW07,245,548,557,440,384,400,463,520,446,403,374,361,243,96,70,41,114,
2022-KW08,222,437,477,373,395,354,422,474,417,375,365,313,251,138,109,51,171,
2022-KW09,220,442,389,377,438,429,438,462,475,370,369,382,258,152,90,60,178,
2022-KW10,209,354,474,594,581,489,503,499,512,423,487,471,324,165,112,71,189,
2022-KW11,213,383,480,618,635,501,585,555,561,479,643,564,377,207,151,109,262,
2022-KW12,235,426,528,534,535,512,520,569,527,526,662,651,394,225,122,104,209,
2022-KW13,182,329,403,419,474,411,374,495,463,401,508,504,352,188,134,76,173,
2022-KW14,97,231,351,385,377,300,337,299,329,307,415,432,312,159,89,61,126,
2022-KW15,93,155,189,399,277,281,226,266,240,236,305,301,229,117,82,66,164,
