# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-07-06 05:39:56
# API-Download für Covid19-Fälle in LK Harburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,1,,,,,,,3,,,,,,,,,,
2020-KW11,,,,,2,,4,,3,4,3,4,1,,,1,,
2020-KW12,,,,4,11,3,3,6,9,5,14,9,4,2,1,2,2,
2020-KW13,,,,3,4,6,1,3,3,8,12,4,1,4,,,3,
2020-KW14,,,,6,10,14,15,6,4,10,12,7,7,1,2,2,21,
2020-KW15,,,3,2,8,11,7,5,,5,11,6,6,1,1,2,19,
2020-KW16,1,2,1,1,8,7,11,5,2,3,4,5,3,3,1,,2,
2020-KW17,1,,6,2,6,10,3,6,1,6,3,5,2,,1,2,11,
2020-KW18,1,,1,2,,5,1,2,1,2,,,3,1,1,,3,
2020-KW19,,,2,,1,1,,1,1,,,2,,,,,,
2020-KW20,,1,,,1,,2,,,,3,,1,,,,,
2020-KW21,,,1,,2,1,,,,2,1,1,,,,,,
2020-KW23,,,,1,1,,,1,1,,,,,,,,,
2020-KW24,,,,,3,1,1,1,,,1,1,,,,,,
2020-KW25,,,,2,1,,1,,1,1,,,,,,,,
2020-KW26,,,,1,1,,1,,,,,,,,,,,
2020-KW27,,,,2,2,,,,2,,,,,,,,,
2020-KW28,,,,,1,,,2,1,1,,,,,,,,
2020-KW29,1,,,,1,,1,,,,1,1,,,,,,
2020-KW30,1,,,,1,,,,,,,,3,,,,,
2020-KW31,,,1,2,4,2,,1,1,1,2,1,,,,,1,
2020-KW32,1,1,,1,5,3,2,3,1,3,1,2,1,,,,,
2020-KW33,1,,2,1,2,4,2,2,1,4,3,,1,1,,,,
2020-KW34,1,1,,1,1,2,1,2,,3,,1,,,,2,,
2020-KW35,1,,,2,3,3,4,,,1,,,,,1,,,
2020-KW36,3,,1,2,3,4,,4,3,1,3,,,,,,,
2020-KW37,,,1,9,7,3,1,1,1,1,4,3,1,3,1,,,
2020-KW38,,,1,13,5,,2,2,8,4,5,4,1,,,,2,
2020-KW39,,,1,2,4,4,2,3,4,3,2,3,2,2,2,3,29,
2020-KW40,1,1,2,3,1,1,3,2,1,2,7,8,,,1,3,12,
2020-KW41,1,3,1,6,3,3,6,4,4,3,4,4,2,,1,1,4,
2020-KW42,1,1,2,6,6,13,4,6,4,4,3,10,1,1,,1,2,
2020-KW43,2,3,,7,8,6,13,9,6,11,13,13,6,1,4,4,6,
2020-KW44,3,4,7,11,17,16,17,14,16,9,18,21,13,3,4,2,4,
2020-KW45,,8,4,15,23,21,13,13,12,15,16,22,11,13,9,5,37,
2020-KW46,1,8,5,11,16,17,24,12,8,18,18,16,17,7,2,2,11,
2020-KW47,5,1,8,13,10,13,17,8,11,14,21,15,11,8,4,1,4,
2020-KW48,5,6,6,11,8,8,14,13,15,10,14,7,10,4,2,3,5,
2020-KW49,1,4,4,11,20,18,14,12,11,13,20,16,10,6,2,3,5,
2020-KW50,7,14,9,18,11,17,23,18,19,20,18,14,7,3,1,9,7,
2020-KW51,5,14,11,13,18,22,21,18,24,24,21,18,20,6,2,5,10,
2020-KW52,5,4,3,6,14,11,15,22,13,10,17,21,7,7,3,8,10,
2020-KW53,1,3,4,13,22,20,24,14,13,16,26,18,13,7,5,5,17,
2021-KW01,3,4,7,12,21,34,17,22,30,14,26,24,21,11,5,10,15,
2021-KW02,1,7,4,5,12,12,18,10,3,22,8,19,7,8,9,3,13,
2021-KW03,,4,4,4,14,16,14,9,14,9,17,22,5,4,8,1,10,
2021-KW04,3,6,4,6,8,9,14,4,7,13,16,11,3,3,5,,6,
2021-KW05,2,3,1,6,9,8,11,6,4,11,19,11,13,1,3,3,11,
2021-KW06,2,3,5,9,15,13,8,11,7,13,13,12,9,2,9,3,12,
2021-KW07,5,4,5,3,13,6,15,17,13,13,12,15,4,4,3,4,11,
2021-KW08,5,5,6,11,12,16,16,12,12,10,24,15,4,4,,1,6,1
2021-KW09,5,3,6,5,10,12,15,20,10,10,16,16,5,6,4,1,3,
2021-KW10,15,8,5,8,12,20,32,20,18,18,13,17,12,5,2,,4,
2021-KW11,15,13,8,11,11,12,14,26,13,18,21,35,15,3,4,4,11,
2021-KW12,15,18,10,25,21,18,21,35,21,15,27,26,13,6,9,8,7,
2021-KW13,2,9,12,11,11,10,17,17,21,10,17,19,9,6,7,5,3,
2021-KW14,5,4,5,7,15,15,17,17,18,13,16,17,5,9,2,,3,
2021-KW15,9,10,8,14,16,12,13,22,13,19,16,16,16,4,6,6,6,
2021-KW16,8,9,12,12,21,29,15,14,7,13,21,17,14,4,2,4,7,
2021-KW17,5,5,7,7,17,13,11,15,18,13,13,19,11,6,,2,4,
2021-KW18,7,5,15,8,28,22,14,15,12,11,17,4,3,4,2,1,5,
2021-KW19,3,6,7,5,14,13,10,7,12,7,4,7,3,3,,,,
2021-KW20,1,5,10,8,7,4,3,11,5,4,8,5,3,1,,,,
2021-KW21,2,,1,1,2,3,1,,4,,,1,1,1,,,1,
2021-KW22,,,1,,1,5,2,2,1,2,2,,1,1,,,,
2021-KW23,,,,1,3,2,1,,,,2,,,,,,,
2021-KW24,,1,,,2,2,3,,,,,1,1,,,,,
2021-KW25,1,1,,,2,,1,1,,2,,,,2,,1,3,
2021-KW26,2,2,,,1,,3,3,,,3,3,,,,2,,
