# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-05-20 08:35:27
# API-Download für Covid19-Fälle in SK Gera, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,1,,,,,,,,,
2020-KW12,,,,,,1,,,,,1,1,,,,,,
2020-KW13,,,,,1,2,1,1,2,1,2,1,2,1,,1,,
2020-KW14,,,,1,,,1,2,,1,1,3,1,1,,,3,
2020-KW15,,,,1,,1,,1,1,2,4,2,3,3,,,3,
2020-KW16,,,1,4,,3,,,2,3,3,2,1,2,2,6,7,
2020-KW17,,,,2,5,2,6,3,1,3,2,3,2,2,6,3,6,
2020-KW18,,1,,,1,,4,1,5,2,,4,3,2,,2,1,
2020-KW19,,,,,1,2,1,,1,1,2,1,2,,1,1,5,
2020-KW20,,,,1,,1,1,1,2,,2,,,,,2,5,
2020-KW21,,,,,,1,2,,1,3,3,,4,2,,,5,
2020-KW22,,,1,,,,1,,,,2,1,2,2,1,4,9,
2020-KW23,,,,2,1,,2,,1,3,1,1,,,1,,,
2020-KW24,,,,,,1,,,,,,,,,,,,
2020-KW25,,,,,,,,,,,,,,,1,,,
2020-KW26,,,,,,,,,,,,,,,,,1,
2020-KW27,,,,,,,1,,,,,,,1,,,,
2020-KW28,,,,2,,,,,,,,,,,,,,
2020-KW29,,,,,,,,,,,1,,,,,,,
2020-KW30,,,,,,,1,,,,,,,,,,,
2020-KW31,,,,,,1,1,,,,,,,,,,,
2020-KW32,,,,1,2,,,,,,1,,,,,,,
2020-KW33,,,,3,,,,1,,,,,,,,,,
2020-KW35,,,1,,,,,,,,,,,,,,,
2020-KW36,,,,2,,,,,,,,,,,,,,
2020-KW37,,,,,,,,1,,1,,,,1,,1,,
2020-KW38,,,,1,,,,,,,,,,,,,,
2020-KW39,,,,,,1,,1,,,,,,,2,2,,
2020-KW40,,,,,1,,1,1,2,,,1,,,,,2,
2020-KW41,,,3,3,,1,3,2,4,,1,1,2,,,,,
2020-KW42,1,1,1,5,2,3,1,3,3,2,1,2,5,2,2,2,3,
2020-KW43,1,4,2,1,1,2,2,4,1,1,5,6,5,3,1,1,2,
2020-KW44,2,2,1,3,3,3,5,7,3,5,6,7,5,1,,2,4,
2020-KW45,1,2,2,7,6,4,8,8,4,10,8,15,9,4,4,1,2,
2020-KW46,3,2,2,4,4,2,8,2,3,4,7,8,5,3,3,1,2,
2020-KW47,5,6,7,6,4,5,12,4,6,4,11,8,5,3,1,11,9,
2020-KW48,3,7,12,10,12,5,9,11,10,8,14,9,13,4,4,3,,
2020-KW49,4,7,9,12,10,4,16,14,8,7,9,7,4,4,8,6,20,
2020-KW50,1,11,16,12,9,8,17,20,22,20,19,19,18,6,6,13,74,
2020-KW51,5,10,14,13,21,18,38,37,25,18,39,27,31,24,9,15,56,
2020-KW52,5,4,7,8,15,18,17,17,20,24,33,26,29,22,12,6,36,
2020-KW53,,2,7,10,5,11,17,12,13,15,14,19,16,7,10,11,16,
2021-KW01,3,1,7,4,9,17,19,9,12,10,19,20,16,14,10,13,39,
2021-KW02,4,1,1,6,9,8,16,8,10,9,11,10,10,9,6,9,24,
2021-KW03,2,3,3,7,7,5,12,8,6,3,10,11,12,6,4,5,14,
2021-KW04,1,3,4,3,4,6,6,9,7,7,7,5,6,4,1,7,10,
2021-KW05,2,,3,2,3,3,9,5,6,3,6,10,7,7,3,4,5,
2021-KW06,,1,1,1,3,1,7,8,2,8,4,3,6,1,2,6,20,
2021-KW07,1,4,2,1,3,1,9,5,6,7,13,8,4,3,6,6,12,
2021-KW08,4,1,3,4,3,4,15,12,6,8,6,8,7,3,2,3,4,
2021-KW09,4,2,7,6,6,1,2,7,9,9,4,9,5,3,3,7,,
2021-KW10,9,8,5,7,10,12,9,20,10,9,9,14,12,7,3,2,8,
2021-KW11,12,18,9,8,11,12,23,26,28,16,18,27,20,13,7,9,28,
2021-KW12,11,19,11,16,15,16,26,40,35,16,26,23,18,7,13,7,18,
2021-KW13,14,16,13,10,14,21,28,23,15,13,25,31,28,17,14,8,29,
2021-KW14,5,8,8,11,15,16,25,21,21,14,31,35,32,19,9,6,17,
2021-KW15,13,9,8,18,8,17,21,14,14,14,19,29,22,18,10,19,18,
2021-KW16,15,13,15,17,15,15,16,24,15,21,20,15,23,17,14,13,11,
2021-KW17,15,16,18,22,10,14,14,16,19,11,18,25,18,10,7,10,7,
2021-KW18,9,9,6,7,6,12,17,13,11,8,10,11,12,12,3,6,7,
2021-KW19,1,5,6,7,2,3,6,11,7,4,8,10,8,6,4,4,5,
2021-KW20,,1,3,1,3,5,7,2,,2,4,2,,4,,1,1,
2021-KW21,,2,,1,,,,2,2,1,,2,,1,,3,3,
2021-KW22,,,3,1,2,,3,2,2,,2,2,4,3,,2,2,
2021-KW23,,2,,,,,,1,,,1,,1,,1,,1,
2021-KW24,3,,1,,,,1,1,,,1,,,,1,,,
2021-KW25,1,1,,,,,,1,,,1,,,,,,1,
2021-KW26,,,,1,1,,1,,,,,,,,,,,
2021-KW28,,,1,,,,,,,,,,,,,,1,
2021-KW29,,,,,,1,,1,2,1,,,,,,2,4,
2021-KW30,,1,,,1,1,1,,,1,,,1,,,,3,
2021-KW31,,,,1,3,3,2,,1,,,,,1,,,,
2021-KW32,,1,2,2,1,1,4,4,,1,,,,,1,,,
2021-KW33,1,3,3,4,2,2,3,,2,1,3,1,2,1,,,,
2021-KW34,1,,3,,6,3,3,,,1,1,2,,,,,,
2021-KW35,,3,,,3,2,3,2,,1,5,,1,1,,2,4,
2021-KW36,2,7,4,8,4,9,7,7,4,2,2,,1,2,1,,,
2021-KW37,5,7,5,2,8,6,5,6,8,1,2,,,1,,,,
2021-KW38,3,5,,3,5,4,6,5,3,4,2,3,3,3,2,,3,
2021-KW39,5,10,7,10,2,2,6,7,6,4,2,,2,1,1,,1,
2021-KW40,8,8,8,7,4,4,7,10,6,3,3,5,1,4,2,2,2,
2021-KW41,4,10,10,9,8,4,9,17,8,6,3,1,3,2,5,1,16,
2021-KW42,3,18,24,16,7,7,13,9,13,11,11,9,5,3,4,2,9,
2021-KW43,3,17,20,10,12,14,20,20,15,22,10,16,21,10,8,6,22,
2021-KW44,7,26,9,15,16,13,25,30,28,35,19,17,23,11,14,13,61,
2021-KW45,10,20,19,22,20,24,34,28,27,22,22,28,22,16,8,24,44,
2021-KW46,9,25,24,28,24,18,45,42,39,39,40,50,30,22,13,12,42,
2021-KW47,32,56,68,48,39,35,73,84,64,59,84,74,51,36,27,29,66,
2021-KW48,17,40,87,52,51,33,68,73,59,61,52,59,50,20,22,19,30,
2021-KW49,15,85,90,55,43,40,82,86,80,48,50,77,39,31,23,16,50,
2021-KW50,24,71,81,53,36,24,71,87,75,35,46,44,42,18,24,17,38,
2021-KW51,18,39,31,35,30,27,46,49,44,19,35,33,25,12,9,6,26,
2021-KW52,9,7,16,11,15,14,27,29,24,10,12,23,15,9,10,3,16,
2022-KW01,6,10,19,13,16,20,23,21,15,8,25,30,6,16,5,3,9,
2022-KW02,5,7,11,16,11,16,18,6,7,14,10,14,13,10,1,1,6,
2022-KW03,10,19,12,7,12,17,22,26,23,13,11,10,9,2,3,1,9,
2022-KW04,23,35,35,25,15,21,31,26,31,22,23,22,10,13,5,2,2,
2022-KW05,29,83,109,50,33,28,60,84,64,30,43,34,30,17,7,5,11,
2022-KW06,58,110,111,83,83,64,116,103,84,79,63,54,49,10,11,12,41,
2022-KW07,42,62,87,103,85,64,118,115,94,73,62,62,46,25,20,5,25,
2022-KW08,44,72,93,85,103,80,130,143,95,86,86,107,75,49,24,15,38,
2022-KW09,31,77,120,97,110,81,126,137,139,84,88,106,89,33,22,12,65,
2022-KW10,55,123,187,164,168,92,190,185,151,117,129,138,112,42,43,31,77,
2022-KW11,53,95,139,153,109,115,154,158,162,145,161,154,116,61,45,31,102,
2022-KW12,72,114,172,146,141,120,176,207,199,136,183,192,159,83,57,46,101,
2022-KW13,43,69,92,96,89,73,124,141,136,94,109,122,104,58,37,31,68,
2022-KW14,23,30,38,40,49,37,67,58,66,43,61,76,54,22,23,11,29,
2022-KW15,9,11,22,21,38,20,39,37,46,22,38,50,26,28,12,13,32,
2022-KW16,7,11,11,20,28,17,32,30,25,27,32,46,41,27,14,4,19,
2022-KW17,3,13,14,15,23,16,34,20,24,19,21,25,31,15,13,13,29,
2022-KW18,2,3,20,18,16,10,14,13,13,11,13,23,26,10,8,6,13,
