# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-04-16 08:44:53
# API-Download für Covid19-Fälle in SK Leverkusen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,1,1,,2,1,1,2,,1,1,1,
2020-KW12,,,1,,,1,2,4,3,7,8,2,1,,,,1,
2020-KW13,,,,3,3,3,,3,5,2,6,8,5,4,2,4,3,
2020-KW14,,2,,1,2,6,5,3,3,2,10,5,5,2,2,1,1,
2020-KW15,,,,,,,,1,4,2,2,3,,,,,4,
2020-KW16,,,,,2,3,5,2,4,2,1,1,,4,,,2,
2020-KW17,,,,,,1,,,,,,1,,,,,5,
2020-KW18,,,,,2,2,1,,1,1,,1,,,,1,1,
2020-KW19,,1,,,1,1,1,,1,2,3,4,,,,1,1,
2020-KW20,,,,1,3,1,1,,,,1,,,,,,2,
2020-KW21,1,,,2,2,,1,1,,,,,,1,,,,
2020-KW22,,,,,,,,,2,,,2,2,,,,,
2020-KW23,,,,,1,,,,,1,,,,,,,,
2020-KW24,,,1,2,,,,,,,,,,1,,,,
2020-KW25,,,,,,,,1,,2,1,,,,,,,
2020-KW26,1,,,,,,,,1,,,,,,,,,
2020-KW27,,,,1,,1,,,1,,,1,,,,,,
2020-KW28,,,,3,,1,,,2,1,,2,1,,3,,,
2020-KW29,,,,,2,1,,,,,1,3,1,,1,,,
2020-KW30,,1,1,,1,1,,2,1,,1,5,1,1,,1,,
2020-KW31,,,3,3,1,1,1,1,2,2,1,3,1,,1,,,
2020-KW32,2,1,2,1,,1,1,2,2,1,1,,,,,,,
2020-KW33,,2,2,5,5,2,3,,3,3,,2,2,,1,2,1,
2020-KW34,,,2,2,5,5,3,5,,4,3,3,1,,,,1,
2020-KW35,,,,,2,2,,3,2,2,2,1,,,,,1,
2020-KW36,2,,2,4,5,1,5,1,5,1,4,2,1,,,1,,
2020-KW37,2,2,2,2,3,3,2,1,3,2,4,2,1,2,,1,1,
2020-KW38,1,,4,6,6,5,,,2,4,3,3,3,,,,3,
2020-KW39,,,2,4,8,3,5,2,6,4,2,3,,,,,,
2020-KW40,1,2,1,9,3,3,7,4,4,8,7,3,5,2,1,2,1,
2020-KW41,2,1,2,7,8,8,8,11,3,3,13,3,4,,,,1,
2020-KW42,4,4,7,16,25,11,9,6,10,13,13,10,6,3,3,1,4,1
2020-KW43,1,4,6,8,23,15,11,11,15,15,17,14,11,8,3,1,1,2
2020-KW44,3,6,18,21,34,24,22,15,17,15,23,23,7,7,4,8,5,2
2020-KW45,7,7,10,20,24,21,21,18,28,21,25,19,11,5,13,7,12,5
2020-KW46,4,9,20,27,20,19,20,19,20,29,33,29,18,7,7,5,7,1
2020-KW47,10,12,14,14,21,19,13,15,19,20,19,16,8,3,3,3,14,
2020-KW48,5,9,20,20,25,17,19,26,24,25,24,26,13,6,6,8,16,1
2020-KW49,7,9,20,17,18,21,18,19,28,24,26,15,10,7,8,7,11,
2020-KW50,8,11,10,21,20,29,26,20,16,31,29,25,10,5,5,9,18,
2020-KW51,5,10,18,23,27,21,30,20,18,20,35,22,24,9,7,7,16,
2020-KW52,,4,4,15,17,22,13,11,10,11,20,12,8,7,3,5,7,
2020-KW53,3,2,6,13,16,12,12,14,13,9,11,19,10,9,3,4,11,
2021-KW01,2,10,8,13,16,21,18,14,11,19,26,27,12,4,7,6,23,1
2021-KW02,6,6,3,9,16,25,12,10,7,11,19,20,12,10,3,4,34,
2021-KW03,8,6,5,16,17,18,15,9,13,14,18,12,15,7,1,2,20,
2021-KW04,4,6,8,14,15,14,5,9,7,17,17,12,5,5,7,5,11,2
2021-KW05,6,2,5,11,11,11,18,3,6,12,8,11,3,1,2,3,9,
2021-KW06,6,6,6,8,12,9,9,6,8,15,7,9,7,2,1,6,4,
2021-KW07,1,10,7,5,10,9,7,12,6,7,8,10,7,2,1,4,10,
2021-KW08,4,5,7,5,13,7,11,7,5,8,9,7,6,6,2,1,11,
2021-KW09,1,3,4,4,5,9,5,12,7,3,9,10,6,2,1,4,8,
2021-KW10,2,9,3,10,8,16,10,5,11,13,6,13,9,7,4,2,5,
2021-KW11,6,4,12,14,15,12,15,7,17,15,8,16,7,5,5,3,9,
2021-KW12,4,7,9,11,16,19,16,12,12,12,20,16,5,3,2,4,9,1
2021-KW13,13,15,7,9,14,21,18,17,14,13,16,17,8,3,4,3,7,1
2021-KW14,3,13,10,12,18,14,15,18,13,16,12,12,9,10,4,1,5,2
2021-KW15,14,22,21,28,29,36,33,40,32,28,30,32,24,13,8,10,11,
2021-KW16,23,16,22,33,38,30,36,33,27,33,29,29,20,12,9,7,18,
2021-KW17,17,18,12,21,24,25,33,29,35,22,29,23,14,5,13,9,11,
2021-KW18,25,25,32,36,31,33,31,32,36,29,34,20,13,12,7,7,14,1
2021-KW19,9,18,20,16,16,23,15,26,14,16,12,10,19,7,2,3,8,
2021-KW20,6,14,11,13,11,12,11,13,18,12,9,8,10,3,1,1,2,
2021-KW21,9,5,10,2,3,5,4,7,8,7,7,5,2,,,,1,
2021-KW22,3,2,3,2,8,7,4,9,8,2,9,2,3,2,2,1,1,
2021-KW23,3,2,2,5,5,2,5,6,2,2,3,5,1,1,1,,1,
2021-KW24,3,1,4,3,,1,,2,1,,,,,,,,,
2021-KW25,,3,2,1,,1,3,,1,,2,,,,,,,
2021-KW26,,,1,,1,1,,1,,,,,,,,,,
2021-KW27,1,1,,1,1,,2,2,,,,,,1,1,,,
2021-KW28,4,2,1,4,4,4,2,2,,3,1,1,,,,,,
2021-KW29,,,5,8,6,4,1,2,4,1,1,4,1,2,1,,,
2021-KW30,2,2,3,4,6,8,2,2,5,3,6,2,1,,1,,,
2021-KW31,6,3,8,9,11,5,9,8,7,5,3,9,3,,,2,,
2021-KW32,6,11,12,20,14,10,7,12,11,10,8,2,,1,,,,
2021-KW33,10,38,54,53,26,22,22,30,27,20,15,9,6,2,3,3,1,
2021-KW34,7,29,59,58,29,27,24,25,26,31,19,7,4,4,2,2,2,
2021-KW35,18,87,42,43,20,20,34,34,33,24,11,11,7,4,2,,5,
2021-KW36,11,31,50,23,20,23,21,25,26,12,6,6,5,2,3,3,6,
2021-KW37,5,32,35,19,18,14,21,20,17,16,6,7,2,1,3,3,4,1
2021-KW38,9,14,25,12,6,6,8,12,12,5,7,3,4,1,2,2,5,
2021-KW39,3,11,15,11,6,7,6,5,7,5,3,5,5,,2,2,1,
2021-KW40,1,3,9,8,6,7,5,6,5,1,7,2,3,1,,2,4,
2021-KW41,2,2,5,6,8,6,8,5,6,12,4,3,6,1,1,3,3,
2021-KW42,6,9,9,7,14,17,16,9,15,12,8,12,3,5,6,7,11,
2021-KW43,3,42,43,18,13,19,17,21,18,19,11,19,10,10,8,8,23,
2021-KW44,8,54,32,23,18,16,20,34,21,19,18,17,13,8,9,6,11,
2021-KW45,20,44,34,28,26,34,33,39,19,31,22,34,15,12,7,4,9,
2021-KW46,28,49,62,41,36,48,58,38,41,37,40,30,25,19,8,7,15,
2021-KW47,13,55,88,30,36,32,50,54,45,37,35,48,24,23,14,12,14,
2021-KW48,18,74,57,35,25,25,46,39,65,38,36,35,26,21,15,17,11,
2021-KW49,20,73,45,23,28,28,39,24,35,27,30,28,16,14,9,4,13,
2021-KW50,20,51,47,15,26,29,30,31,38,26,21,25,12,11,5,4,9,
2021-KW51,14,44,50,25,22,15,17,39,24,24,22,16,17,6,5,4,5,
2021-KW52,9,17,31,26,40,34,33,32,33,34,50,43,20,13,8,4,10,
2022-KW01,30,35,50,71,99,87,72,60,53,69,61,51,31,18,6,10,14,
2022-KW02,59,129,131,120,113,106,88,94,87,96,90,87,37,15,15,7,10,1
2022-KW03,95,192,201,178,118,120,140,133,141,87,97,81,50,26,9,10,19,
2022-KW04,142,278,276,234,160,196,216,212,216,162,130,137,108,44,29,17,54,
2022-KW05,81,228,232,163,120,152,176,181,179,123,107,102,51,34,18,6,34,1
2022-KW06,128,310,316,191,155,180,200,236,224,166,119,134,88,46,27,17,36,1
2022-KW07,103,204,221,143,104,122,150,162,146,116,99,79,76,31,25,12,33,
2022-KW08,138,219,244,152,141,155,183,208,174,114,138,108,94,37,34,23,46,
2022-KW09,107,197,184,151,188,201,223,180,189,155,191,172,119,53,35,29,96,
2022-KW10,106,185,169,321,346,293,257,207,218,198,255,214,121,56,50,33,95,
2022-KW11,157,202,193,203,209,220,237,225,227,208,234,254,158,80,61,46,85,1
2022-KW12,105,181,169,201,174,192,227,219,198,167,231,222,137,85,56,52,105,
2022-KW13,93,130,129,135,138,172,173,169,145,136,161,154,123,82,38,49,88,1
2022-KW14,49,81,62,98,85,97,100,84,93,90,116,113,107,52,34,22,83,
2022-KW15,38,43,39,27,52,61,65,53,53,47,67,68,41,20,20,7,28,1
