# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-03-06 07:38:27
# API-Download für Covid19-Fälle in LK Mettmann, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW07,1,,,,,,,,,,,,,,,,,
2020-KW10,,,,,,,,1,2,,,,,,,,,
2020-KW11,,,1,,2,1,3,1,1,3,1,6,3,,1,,,
2020-KW12,1,,2,2,5,9,10,9,14,15,22,10,6,3,7,9,9,
2020-KW13,1,,1,3,7,5,13,10,11,16,19,11,17,15,6,7,6,
2020-KW14,,1,1,5,4,14,6,10,11,9,21,21,10,5,6,15,29,
2020-KW15,1,1,1,4,18,17,17,7,14,12,5,21,9,1,10,4,29,
2020-KW16,,,,1,8,7,9,12,6,4,10,7,10,7,2,11,31,
2020-KW17,1,1,3,3,4,5,4,2,7,7,6,7,1,,2,2,8,
2020-KW18,,,1,1,5,3,7,,1,3,8,1,2,4,1,2,9,
2020-KW19,,,,,4,2,,1,4,1,3,,,2,1,2,4,
2020-KW20,,1,,2,2,,,2,1,,2,3,2,1,1,2,4,
2020-KW21,1,,1,1,1,1,2,1,1,3,,1,,1,1,3,1,
2020-KW22,1,,,1,,1,3,2,1,,2,3,2,1,5,1,5,
2020-KW23,1,,,,1,2,1,,,,,2,,1,1,,,
2020-KW24,,,,,1,1,1,,,2,1,,1,,,,,
2020-KW25,,2,,,2,1,1,,1,3,3,1,,,,,,
2020-KW26,4,1,1,2,3,2,,5,1,2,5,3,2,3,,3,1,
2020-KW27,2,,1,,3,1,1,1,2,2,5,3,5,3,,,,
2020-KW28,5,5,5,3,5,3,11,2,8,4,5,3,5,2,,,1,
2020-KW29,8,11,11,5,9,12,6,16,13,4,8,8,6,5,,1,2,
2020-KW30,5,5,7,8,4,7,9,4,6,3,5,6,3,1,1,,3,
2020-KW31,1,4,10,1,4,3,3,9,9,3,4,4,2,2,1,,3,
2020-KW32,2,5,8,11,9,2,6,10,9,10,10,3,3,2,1,,3,
2020-KW33,6,7,9,8,6,10,9,8,5,8,6,7,7,,2,1,,
2020-KW34,8,5,5,9,6,5,11,6,7,6,3,5,2,2,2,,2,
2020-KW35,1,,1,1,4,4,4,1,1,5,1,,7,,1,1,,
2020-KW36,,1,2,3,3,8,2,3,2,,5,3,1,1,3,3,1,
2020-KW37,1,,2,2,3,1,3,1,2,4,2,2,,1,,2,4,
2020-KW38,6,1,5,15,9,10,14,6,6,3,9,5,4,2,4,2,5,
2020-KW39,4,4,4,7,4,8,10,7,13,7,5,3,3,3,3,2,4,
2020-KW40,5,4,6,9,4,8,7,3,11,9,14,10,3,4,4,3,5,
2020-KW41,5,3,6,26,21,13,15,13,9,20,23,22,16,6,5,7,23,
2020-KW42,9,15,10,28,26,24,28,20,24,25,36,23,15,13,9,10,25,
2020-KW43,12,14,15,28,49,53,38,33,37,33,54,62,31,8,11,14,36,
2020-KW44,21,22,30,68,69,47,55,60,49,72,80,76,42,38,27,22,32,
2020-KW45,32,21,43,63,77,64,66,68,45,90,95,61,39,27,12,16,35,
2020-KW46,17,24,39,61,75,62,73,58,62,69,72,83,50,30,17,26,89,
2020-KW47,17,30,40,54,45,46,44,50,50,54,50,65,45,16,23,30,83,
2020-KW48,21,27,34,43,44,39,53,40,42,58,46,61,27,26,20,15,58,
2020-KW49,16,22,25,38,44,38,44,38,44,41,51,46,39,19,18,25,81,
2020-KW50,23,23,32,53,61,63,69,59,45,42,84,64,51,29,18,41,121,
2020-KW51,14,23,23,43,46,55,43,60,57,64,68,59,40,37,17,36,127,
2020-KW52,11,22,21,24,47,34,36,39,49,41,52,39,51,24,17,28,127,1
2020-KW53,9,12,16,20,40,37,42,41,34,51,55,64,39,26,14,28,141,
2021-KW01,17,17,24,23,75,57,78,49,52,70,70,64,65,31,13,34,170,
2021-KW02,9,20,18,36,69,64,62,51,45,72,72,87,53,20,27,34,166,
2021-KW03,11,18,18,38,45,28,36,47,37,44,59,50,30,24,35,23,128,
2021-KW04,7,11,18,43,39,34,36,31,36,27,44,40,23,13,13,24,74,
2021-KW05,10,14,11,16,32,40,38,33,26,36,34,51,44,23,17,21,80,
2021-KW06,13,10,6,26,15,19,19,26,22,30,28,42,29,5,13,21,63,
2021-KW07,11,14,12,16,22,16,18,13,23,23,26,30,24,17,8,12,29,
2021-KW08,13,13,18,25,29,35,36,27,26,24,37,35,22,10,9,6,21,
2021-KW09,21,17,19,26,18,18,23,28,27,30,37,18,21,10,8,9,14,
2021-KW10,21,16,21,27,36,37,27,31,31,30,31,38,15,11,9,8,11,
2021-KW11,26,42,31,24,30,30,33,49,30,31,32,36,24,18,8,9,27,
2021-KW12,55,38,28,37,45,47,43,50,54,41,44,54,27,16,14,11,17,
2021-KW13,40,35,29,27,44,41,57,45,41,33,44,55,31,17,11,9,19,
2021-KW14,29,37,26,41,65,56,67,48,49,38,62,62,42,26,27,13,30,
2021-KW15,46,64,65,96,89,82,91,69,79,77,86,71,56,24,23,21,34,
2021-KW16,46,48,70,59,77,72,60,73,64,75,68,82,53,32,23,16,55,
2021-KW17,32,47,53,52,68,66,71,64,53,47,50,57,48,25,20,17,31,
2021-KW18,46,55,77,74,79,68,73,71,84,78,77,99,61,28,31,15,40,
2021-KW19,25,43,50,42,36,34,53,49,59,44,44,55,28,20,16,12,10,
2021-KW20,24,37,38,40,32,28,31,29,32,42,28,33,21,12,12,2,7,
2021-KW21,19,22,22,24,17,12,21,12,16,21,26,19,8,6,5,6,7,
2021-KW22,14,19,16,20,10,8,16,6,19,9,14,6,5,5,1,4,5,
2021-KW23,8,9,13,12,11,10,4,14,6,6,9,6,1,1,1,4,1,
2021-KW24,8,,4,6,3,6,2,7,6,3,4,2,4,,,,1,
2021-KW25,2,3,,3,1,2,,1,1,3,2,5,,,,,1,
2021-KW26,1,2,1,2,3,5,1,1,1,4,,1,2,,,,,
2021-KW27,2,1,2,5,10,3,3,2,1,2,1,,,,,,,
2021-KW28,,3,4,17,6,2,5,5,6,1,4,3,1,1,,1,,
2021-KW29,1,4,4,15,22,14,7,7,4,4,2,11,2,,3,,3,
2021-KW30,9,5,4,20,17,23,16,11,9,7,9,2,6,1,,2,3,
2021-KW31,8,13,21,15,18,23,15,22,13,12,8,11,4,3,3,3,1,
2021-KW32,16,14,29,28,24,29,36,29,35,17,17,14,7,2,1,3,3,
2021-KW33,24,52,85,75,49,49,48,55,50,45,26,18,10,8,5,6,10,
2021-KW34,31,104,84,67,44,50,47,56,41,44,27,22,11,7,3,10,17,1
2021-KW35,29,68,75,48,40,27,39,48,38,37,23,15,10,9,10,8,15,
2021-KW36,32,89,89,59,51,43,57,43,32,42,26,18,14,12,7,5,9,
2021-KW37,17,73,64,52,26,31,34,27,32,24,23,16,17,5,6,3,11,1
2021-KW38,29,60,45,32,32,24,26,30,31,23,19,20,11,8,4,2,5,
2021-KW39,15,40,43,24,10,16,15,24,25,24,9,9,1,8,4,4,6,
2021-KW40,3,25,22,16,24,15,14,14,18,8,16,10,7,3,4,4,3,
2021-KW41,6,13,12,15,17,29,23,22,19,21,17,11,13,6,8,7,19,
2021-KW42,19,19,26,15,25,18,32,28,24,23,26,22,16,3,11,11,24,
2021-KW43,7,71,57,31,26,32,31,55,42,31,30,30,18,19,10,5,20,
2021-KW44,28,74,60,43,49,31,44,54,47,38,43,24,30,12,17,19,15,
2021-KW45,34,93,70,47,50,44,53,56,49,40,36,53,37,26,17,15,18,
2021-KW46,30,115,112,63,56,57,76,64,75,76,53,62,63,38,24,16,43,
2021-KW47,51,205,157,97,98,78,89,130,138,122,110,134,99,57,35,44,72,1
2021-KW48,37,137,114,56,55,60,79,74,85,73,81,69,60,39,27,20,46,
2021-KW49,71,185,201,85,83,73,92,135,128,94,97,102,63,40,29,26,38,
2021-KW50,70,148,199,127,87,65,78,130,132,121,128,81,68,47,26,19,32,
2021-KW51,46,126,181,98,83,76,83,93,102,94,83,80,59,30,25,32,44,
2021-KW52,39,109,109,119,98,117,129,114,118,76,82,116,81,36,26,25,44,1
2022-KW01,76,130,125,210,233,172,175,174,153,130,140,127,77,51,19,26,43,
2022-KW02,115,273,284,277,234,191,194,211,212,170,183,115,81,35,29,23,42,2
2022-KW03,232,490,427,347,291,287,340,332,297,229,206,199,126,66,27,29,66,4
2022-KW04,279,701,577,407,351,317,428,467,442,334,258,240,187,61,49,32,108,7
2022-KW05,295,758,747,543,426,422,560,636,586,420,386,343,238,101,74,62,139,6
2022-KW06,415,1042,1159,741,483,533,724,880,801,588,500,473,273,119,88,65,238,9
2022-KW07,365,951,1007,641,456,501,641,773,790,534,502,469,306,171,119,88,299,13
2022-KW08,404,954,809,578,496,565,684,788,767,580,535,497,372,177,142,103,299,7
2022-KW09,287,558,440,396,368,351,414,499,503,381,353,351,241,120,84,82,242,3
2022-KW10,221,371,347,504,414,329,369,393,352,282,368,316,213,114,91,62,190,8
2022-KW11,328,570,613,589,621,607,625,692,655,555,713,687,410,243,196,174,330,7
2022-KW12,356,615,618,592,614,644,699,744,675,650,715,741,483,292,218,169,340,13
2022-KW13,212,349,442,422,360,388,430,497,493,395,513,538,376,202,141,98,295,2
2022-KW14,147,266,357,284,314,349,322,419,346,344,472,455,283,185,113,97,272,3
2022-KW15,93,159,166,260,246,252,269,298,321,280,367,367,279,134,116,92,200,7
2022-KW16,73,136,175,167,258,261,255,259,279,265,428,397,236,130,96,76,163,3
2022-KW17,69,115,175,162,141,192,209,200,216,194,245,235,187,107,68,62,146,2
2022-KW18,88,142,142,129,131,155,182,187,185,168,218,201,138,81,71,47,111,1
2022-KW19,51,89,98,90,104,111,138,126,127,120,149,176,109,75,46,39,63,
2022-KW20,59,85,123,116,115,156,158,174,140,144,161,167,125,64,45,40,115,
2022-KW21,28,41,73,81,73,67,80,102,100,89,142,115,78,48,22,30,118,
2022-KW22,32,52,105,60,81,129,116,137,134,124,153,156,101,49,63,38,66,
2022-KW23,45,101,180,172,172,193,213,185,240,222,248,251,212,76,70,41,66,
2022-KW24,71,84,177,172,178,223,274,245,225,231,340,309,194,103,90,57,113,1
2022-KW25,62,90,196,220,295,321,318,311,295,371,436,486,309,142,114,98,151,4
2022-KW26,69,83,93,149,303,311,374,342,304,312,509,551,341,188,124,113,189,4
