# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-06-12 05:49:36
# API-Download für Covid19-Fälle in SK Berlin Steglitz-Zehlendorf, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,1,1,3,2,3,2,3,2,3,3,3,3,,1,2,,
2020-KW12,,1,1,2,3,4,4,5,4,10,11,8,1,3,5,2,1,
2020-KW13,,,,3,8,10,5,5,7,11,15,15,7,6,4,5,,
2020-KW14,,3,7,4,15,4,1,2,6,8,17,15,8,8,7,5,5,
2020-KW15,,1,1,4,3,4,4,4,5,11,8,9,5,2,3,9,14,
2020-KW16,,,,1,3,4,4,2,2,,4,4,1,2,1,3,8,
2020-KW17,,2,,,2,2,1,1,1,1,1,1,1,,,1,3,
2020-KW18,1,,,1,2,2,3,2,1,2,3,,4,,1,2,6,
2020-KW19,2,,1,,2,2,4,1,2,1,1,1,1,,,,3,
2020-KW20,1,,,,,1,1,1,2,1,1,2,,,,,,
2020-KW21,,,,,,,1,1,2,,,1,2,,1,1,2,
2020-KW22,,,,1,1,,1,3,,,,1,4,,,,,
2020-KW23,1,2,,,2,,1,,,,,1,1,,,,1,
2020-KW24,2,,,,1,1,,1,3,1,,,,,,,,
2020-KW25,,1,,,,1,3,,2,,,,,,,,,
2020-KW26,2,1,,,1,2,1,1,1,3,,1,1,,,,,
2020-KW27,,1,,,1,1,,,1,,,,1,,,,,
2020-KW28,,,,,2,2,,,,3,2,,1,,1,,,
2020-KW29,,,,,,,4,3,1,,,,1,1,,,1,
2020-KW30,1,,,1,3,1,,2,1,1,1,,1,2,,,1,
2020-KW31,,,2,3,2,1,1,1,1,1,,,1,,,,,
2020-KW32,,1,1,1,2,3,,1,1,,,1,1,2,,,,
2020-KW33,1,,2,3,,1,,,1,,1,1,,,,,,
2020-KW34,1,,2,6,10,8,7,2,3,2,,,,1,1,,3,
2020-KW35,,,,3,5,9,2,3,2,,,3,3,2,,1,1,
2020-KW36,,,1,3,7,7,7,3,3,,1,,1,1,1,,,
2020-KW37,1,1,1,2,5,4,4,1,2,1,1,,1,,1,,,
2020-KW38,,1,,11,7,5,3,3,1,2,2,4,4,,,3,,
2020-KW39,1,1,1,8,11,5,5,4,3,8,6,8,,3,2,3,2,
2020-KW40,1,2,4,4,11,7,10,9,5,2,8,6,3,2,3,2,2,
2020-KW41,5,3,7,13,22,16,8,9,9,13,12,13,13,7,3,4,5,2
2020-KW42,4,5,17,14,16,17,16,21,15,18,17,14,12,8,5,6,7,1
2020-KW43,2,8,19,13,36,22,19,20,14,23,31,21,23,11,7,3,24,2
