# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-03-30 08:36:57
# API-Download für Covid19-Fälle in LK Amberg-Sulzbach, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,1,,,,,,1,3,2,1,,,1,,,
2020-KW12,1,,1,1,1,1,2,,1,,2,4,1,,,2,1,
2020-KW13,,,1,1,3,1,5,1,2,,6,2,,1,2,,6,
2020-KW14,,1,1,6,4,4,7,5,5,7,12,12,6,2,6,1,10,
2020-KW15,1,,,2,6,12,5,5,8,5,14,16,18,10,6,10,60,
2020-KW16,,,,1,9,4,2,,3,2,8,7,7,2,3,3,27,
2020-KW17,,,,,4,3,1,1,1,1,3,3,8,1,,2,7,
2020-KW18,,,,,,,,,2,,1,3,1,,,,3,
2020-KW19,,,,4,,,,1,,1,2,2,2,,,3,6,
2020-KW20,,,,3,,,,,1,,1,,2,1,,,1,
2020-KW21,,,,1,,,2,1,1,,1,,,,1,,6,
2020-KW22,,1,,,,,,,,,1,1,,2,,1,,
2020-KW32,,,,,1,1,,,,,,,,,,,,
2020-KW33,,,,,,,,,,,,,,,,1,,
2020-KW34,,,,2,2,,,,3,,,,,,,,,
2020-KW35,,,,,,2,1,2,1,,,,,,,,1,
2020-KW36,,,1,,,,1,1,,,,,1,,,,,
2020-KW37,,,,2,1,1,,,1,,,1,,,,,,
2020-KW38,,1,,2,1,1,1,1,,2,2,2,,,1,,,
2020-KW39,,,,1,,2,,,,,2,1,,,,,,
2020-KW40,,,,,,3,,,,,1,3,2,,,,,
2020-KW41,,,,,1,,1,1,,,1,2,1,,1,,,
2020-KW42,,,,,,,2,2,1,1,,,1,2,,,1,
2020-KW43,,,1,3,1,3,4,5,1,2,3,4,4,5,,2,3,
2020-KW44,2,,,4,2,5,10,4,3,5,3,4,6,1,,,1,
2020-KW45,,3,4,8,8,10,6,13,5,12,25,22,5,6,8,5,11,
2020-KW46,3,1,4,14,19,9,20,11,14,10,23,22,29,12,12,13,19,
2020-KW47,,4,3,11,8,13,13,11,13,11,15,17,16,19,5,4,40,
2020-KW48,1,1,4,18,13,10,9,11,7,8,22,19,24,10,4,3,38,
2020-KW49,3,4,8,12,10,17,12,9,11,16,13,21,18,10,3,2,17,
2020-KW50,1,9,11,16,14,17,14,21,13,13,20,33,13,12,9,8,31,
2020-KW51,,2,9,14,16,18,15,7,15,17,20,24,24,11,7,7,30,
2020-KW52,1,,2,4,12,16,11,11,8,14,11,21,11,10,9,3,8,
2020-KW53,2,2,4,1,7,7,9,1,5,13,10,14,14,6,9,5,13,
2021-KW01,,3,2,3,10,3,9,5,8,7,10,11,5,7,3,1,8,
2021-KW02,,,1,5,4,7,3,3,9,4,2,8,4,4,3,2,7,
2021-KW03,,,,3,7,4,9,4,2,1,7,4,5,6,2,1,,
2021-KW04,,,,2,5,5,4,4,2,7,6,6,5,2,,,2,
2021-KW05,1,1,1,2,7,6,6,3,3,5,8,11,3,3,2,1,1,
2021-KW06,,1,2,5,6,5,12,6,3,8,8,10,7,2,2,1,6,
2021-KW07,1,1,4,4,8,5,5,4,6,10,14,6,6,9,4,1,9,
2021-KW08,2,6,2,14,13,13,11,9,6,17,21,29,12,6,7,5,24,
2021-KW09,4,1,4,7,15,10,10,14,12,9,16,19,13,7,4,4,6,
2021-KW10,2,3,5,6,14,14,11,6,10,15,19,18,14,3,4,5,15,
2021-KW11,7,7,10,22,12,16,14,4,22,11,33,22,15,12,7,10,11,
2021-KW12,14,8,8,17,19,16,23,16,21,16,15,23,18,15,8,7,20,
2021-KW13,2,5,6,14,15,9,14,7,11,11,14,13,9,11,6,4,15,
2021-KW14,,2,4,13,13,9,9,10,12,8,15,13,13,6,3,2,4,
2021-KW15,3,4,12,15,6,10,13,13,12,10,9,12,8,3,4,2,6,
2021-KW16,5,2,13,17,12,19,10,4,15,9,13,11,7,3,6,1,1,
2021-KW17,4,6,2,5,6,7,11,7,4,4,9,5,5,2,1,,1,
2021-KW18,1,13,8,6,6,5,4,2,4,12,4,1,5,3,1,1,,1
2021-KW19,9,13,2,4,1,2,6,8,5,6,3,1,1,1,1,1,1,
2021-KW20,4,3,1,,3,4,2,3,4,4,4,3,1,1,1,,,
2021-KW21,,,,1,3,2,1,,2,3,1,3,4,,1,,,
2021-KW22,2,,2,1,1,1,1,2,2,,2,5,2,1,,,,
2021-KW23,1,,1,2,,2,,,,1,,,1,,,,,
2021-KW24,,,,1,,,,,,,,,,,,,,
2021-KW27,,,,,2,,,,,1,,,,,,,,
2021-KW28,1,1,1,,,,2,4,1,2,,1,1,2,,,,
2021-KW29,1,,,,,6,1,,1,,,1,,,,,,
2021-KW30,,1,,,1,,,1,1,,1,,,,,,,
2021-KW31,2,,,1,1,,3,,,1,,,,,,,,
2021-KW32,2,1,1,,10,3,,2,1,1,,3,1,,,,,
2021-KW33,1,,,3,3,1,4,1,,,1,4,1,1,,,,
2021-KW34,2,,1,2,3,4,4,,,,1,1,4,,,,,
