# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-06-22 08:41:14
# API-Download für Covid19-Fälle in LK Harz, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,,,,2,,,,,,
2020-KW12,,,,,2,,,2,2,1,1,2,1,,,1,,
2020-KW13,1,,,,3,2,3,1,5,4,2,3,3,2,1,1,1,
2020-KW14,,,,4,6,12,3,2,2,3,1,4,3,2,,2,2,
2020-KW15,3,1,1,1,4,6,5,8,2,3,3,4,2,3,,1,2,
2020-KW16,2,,1,7,7,21,7,6,4,4,6,6,4,3,,3,,
2020-KW17,,1,,1,4,4,,1,,1,,,,,,,,
2020-KW18,,,,,2,2,3,,,1,1,2,,,1,,,
2020-KW19,2,,,2,2,1,,1,,,,,,,,,,
2020-KW20,,,,,1,,,,,,,1,,1,,1,,
2020-KW28,1,,,,,,,2,,,,,,,,,,
2020-KW31,,,,,,,,,1,,1,,,,,,,
2020-KW32,1,1,1,,,,,,1,,,,,,,,,
2020-KW33,,,,,2,,,,,,,,,,,,,
2020-KW34,,,,,1,,,,,,,,,,,,,
2020-KW35,,,1,,1,,,,,,,,,,,,,
2020-KW36,,,,,,1,,,,,,1,,,,,,
2020-KW37,,,,1,,,,,,,,1,,,,,,
2020-KW38,1,,,,,1,1,,,,,,,,,1,1,
2020-KW39,,,,,,,,,,,1,,1,,,,,
2020-KW40,1,,,1,,1,,1,,,1,,,1,1,,,
2020-KW41,2,,1,3,,,3,1,,3,3,,2,,1,,,
2020-KW42,,1,,2,2,3,4,2,,4,1,6,5,2,1,,,
2020-KW43,3,2,2,1,6,11,9,5,9,3,9,7,2,7,2,1,,
2020-KW44,1,2,3,2,4,2,8,8,5,5,6,8,5,2,2,8,1,
2020-KW45,2,,1,14,7,7,9,7,11,9,10,10,11,11,,2,7,
2020-KW46,4,2,5,9,3,6,11,5,5,5,9,11,10,5,4,8,6,
2020-KW47,4,2,1,8,3,6,9,5,4,3,18,12,4,14,9,6,10,
2020-KW48,6,3,3,12,9,9,14,9,7,12,10,19,15,11,2,8,18,1
2020-KW49,7,20,16,11,10,9,19,26,26,18,17,23,9,6,2,10,29,1
2020-KW50,3,16,20,18,14,14,19,29,29,27,27,22,26,14,8,10,58,2
2020-KW51,4,15,17,13,11,15,40,34,32,35,29,57,38,25,17,18,43,1
2020-KW52,7,8,14,12,4,14,16,28,31,30,26,37,37,27,11,12,52,1
