# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-12-02 05:48:45
# API-Download für Covid19-Fälle in LK Neuwied, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,1,,2,,,3,1,3,3,3,2,1,1,,,,
2020-KW12,,,1,2,3,3,4,2,1,3,13,3,9,2,,1,3,2
2020-KW13,,,,1,6,2,4,7,7,3,5,3,4,2,1,,2,2
2020-KW14,,,1,1,3,2,1,3,1,1,6,2,3,1,1,,6,
2020-KW15,,,,,3,1,2,2,3,3,2,4,5,2,2,,6,
2020-KW16,2,1,1,2,1,,2,1,1,1,,1,1,1,1,,1,
2020-KW17,1,,,,,,,,2,,1,,,,,,,
2020-KW18,,,,,,,,,,,,1,,,,,,
2020-KW19,,,,,,,,,,,,1,,,,,,
2020-KW21,,,,,,,,,,,,1,,,,,,
2020-KW22,,,,,,,,,,,1,,,,,,1,
2020-KW23,,,,,,,,,,,,,,,,1,,
2020-KW24,,,,,,,,,,,,,,,,1,,
2020-KW28,,,,,1,,,,,,,,1,,,,,
2020-KW29,1,,,1,1,4,2,2,,,,1,,,,,,
2020-KW30,1,,,,1,,,,,,,,,,,,,
2020-KW31,1,1,,1,1,,2,3,1,1,2,,,,,,,
2020-KW32,1,2,1,,,,,,2,,1,1,,,,,,
2020-KW33,,2,,1,,4,,1,2,1,,1,,1,2,,,
2020-KW34,1,,1,2,3,3,,2,1,2,1,1,2,,,,,
2020-KW35,1,,1,,2,2,3,1,,2,,3,1,1,1,1,,
2020-KW36,1,2,1,2,2,2,3,,1,1,,1,1,,,,1,
2020-KW37,,2,2,,2,,3,1,1,2,,5,,1,3,,11,
2020-KW38,,,,,3,5,2,,3,3,2,1,1,,,,,
2020-KW39,,,4,5,7,1,1,1,1,6,3,1,,,,2,,
2020-KW40,,1,6,8,,5,3,1,3,10,5,2,2,2,2,2,,
2020-KW41,1,3,5,6,5,10,9,1,5,7,7,12,5,6,1,,5,
2020-KW42,1,3,5,7,11,9,7,13,6,5,11,9,9,3,4,1,4,
2020-KW43,4,5,9,11,11,10,16,11,14,15,6,7,13,3,4,5,24,
2020-KW44,5,6,8,12,20,15,10,8,10,8,18,18,6,9,4,5,5,
2020-KW45,9,14,8,28,23,29,14,14,15,16,21,20,12,4,3,2,6,
2020-KW46,3,11,21,22,23,26,19,12,18,19,22,26,15,11,8,4,11,
2020-KW47,6,5,14,22,25,16,15,9,17,19,19,23,10,6,5,7,15,
2020-KW48,9,7,6,6,20,16,22,15,9,5,17,12,13,8,8,17,38,
2020-KW49,6,11,10,15,24,13,18,15,20,23,22,16,18,6,11,13,49,
2020-KW50,4,7,28,36,26,16,21,25,28,19,29,26,25,13,12,15,83,
2020-KW51,7,6,14,23,33,29,22,23,26,33,42,33,24,15,10,16,82,
2020-KW52,4,8,10,18,25,31,28,19,17,30,27,29,27,21,16,5,55,
2020-KW53,3,6,12,16,18,22,27,17,27,19,15,26,24,14,13,8,48,
2021-KW01,5,5,7,15,22,19,18,12,17,13,27,31,15,20,11,6,53,
2021-KW02,3,7,6,13,16,13,10,12,11,12,10,15,16,5,4,4,17,
2021-KW03,6,5,5,10,11,14,11,14,12,18,19,25,18,5,4,7,32,
2021-KW04,3,7,4,17,11,9,17,6,8,15,20,13,17,4,9,7,41,
2021-KW05,3,5,1,7,8,10,10,7,6,8,14,10,5,1,3,3,10,
2021-KW06,6,4,1,9,7,8,15,6,4,6,10,12,8,6,4,4,8,
2021-KW07,5,8,4,8,10,1,8,9,6,7,9,8,6,4,4,2,5,
2021-KW08,2,9,14,6,10,13,13,7,15,8,9,13,16,7,2,,2,
2021-KW09,9,4,6,8,11,12,5,8,13,8,27,14,9,1,2,3,4,
2021-KW10,3,7,6,7,10,9,18,8,17,10,9,24,13,1,2,,2,
2021-KW11,15,15,10,18,18,20,19,18,14,24,16,19,13,11,5,3,4,
2021-KW12,28,40,24,22,24,23,34,29,23,16,21,23,20,10,11,3,8,
2021-KW13,14,24,24,23,35,26,26,45,32,16,29,25,21,10,9,3,12,
2021-KW14,12,12,24,26,15,22,24,24,22,12,18,21,14,5,5,3,12,
2021-KW15,7,12,17,31,40,33,18,26,15,25,17,27,23,10,12,9,13,
2021-KW16,21,25,12,25,16,27,28,20,20,19,20,26,19,8,3,2,11,
2021-KW17,15,13,20,20,17,25,10,26,19,27,25,23,12,7,3,2,6,
2021-KW18,4,2,16,20,19,13,7,11,13,19,21,14,13,7,7,2,7,
2021-KW19,8,4,8,14,15,15,15,6,8,8,20,13,11,10,3,1,1,
2021-KW20,6,6,2,3,14,12,6,3,3,6,12,6,2,1,2,,2,
2021-KW21,3,5,1,3,6,4,4,2,2,3,4,4,2,3,,,1,
2021-KW22,3,4,4,3,4,3,2,3,4,2,4,6,1,1,,,,
2021-KW23,1,3,4,,3,2,4,1,6,5,,1,,,,,2,
2021-KW24,,1,1,,,4,,2,,,,2,,1,1,,1,
2021-KW25,,,,2,,1,,,,1,,,,,1,,2,
2021-KW26,,1,2,1,4,,,1,1,,,2,1,,,,,
2021-KW27,,,,,4,,,,1,1,2,2,,,1,,,
2021-KW28,,,,2,2,3,2,,,4,,1,2,,1,,,
2021-KW29,2,7,7,1,2,4,6,6,2,3,3,3,1,1,,,,
2021-KW30,4,1,1,9,3,6,4,2,2,1,2,2,1,2,,,3,
2021-KW31,2,11,6,5,7,5,3,4,5,2,5,1,,,,,1,
2021-KW32,3,3,4,8,13,1,7,10,4,5,4,2,,,,,2,1
2021-KW33,3,8,8,7,19,10,8,12,6,12,4,8,4,2,,,,
