# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-07-25 08:42:06
# API-Download für Covid19-Fälle in LK Aurich, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,1,3,1,1,1,4,2,,,,1,
2020-KW12,,1,,,,1,1,2,,2,1,1,2,1,2,,,
2020-KW13,,,2,,3,1,,2,1,3,1,1,2,,,1,1,
2020-KW14,,,,1,1,1,4,,,2,8,2,,2,1,1,1,
2020-KW15,,,,1,,,1,,,,,1,1,,1,1,,
2020-KW16,,,,,,1,,,,,,,,,,,,
2020-KW17,,,,,,,1,,,,3,1,2,,,,3,
2020-KW18,,,,,,,1,1,,,1,,2,2,2,,,
2020-KW19,,,,,,,1,,1,1,,,,,,1,,
2020-KW21,,,,,,,,,,,,,,,,,1,
2020-KW22,2,1,2,,,2,2,2,,2,1,,,,,,,
2020-KW23,,2,4,1,1,,3,3,,,,,1,,,,,
2020-KW24,,1,,,,,1,,,,,,,,,,,
2020-KW27,,,,,,1,,,,,,,,,,,,
2020-KW29,,,,,,,,1,,,,,,,,,1,
2020-KW32,1,2,4,2,6,1,,4,1,,,2,,2,1,,,
2020-KW33,3,,2,4,4,1,,,1,,,,,,,,,
2020-KW34,1,,,2,,,1,,,,,,1,,,,,
2020-KW35,,,1,3,6,,,1,1,,1,,,,,,,
2020-KW36,,,1,,1,,,,,,,,,,,,,
2020-KW37,,1,,,,1,,,,,1,,,,,,1,
2020-KW38,,,,,1,,,,,,,,2,,,,,
2020-KW39,1,,,,,,1,2,,,1,,2,1,1,2,1,
2020-KW40,,1,1,2,1,3,1,,,3,4,5,2,,2,,,
2020-KW41,2,5,2,5,5,3,2,7,2,3,1,3,3,5,,,2,
2020-KW42,2,1,3,8,2,2,2,9,5,6,5,6,6,4,3,2,,
2020-KW43,2,1,2,2,6,8,3,4,5,2,6,4,5,3,3,1,4,
2020-KW44,3,5,7,11,10,11,8,10,7,9,14,11,6,4,10,4,8,
2020-KW45,5,3,6,8,14,9,6,7,6,8,9,12,9,6,5,6,5,
2020-KW46,5,2,11,7,8,8,17,5,9,9,9,8,8,8,4,2,3,
2020-KW47,4,2,5,9,8,7,7,6,15,11,13,13,12,5,4,3,4,
2020-KW48,2,2,2,11,7,9,8,2,5,8,14,5,4,6,3,2,1,
2020-KW49,4,4,6,6,8,5,11,5,2,5,8,6,3,2,3,2,3,
2020-KW50,3,1,2,2,14,12,6,11,5,7,11,7,6,3,2,2,9,
2020-KW51,5,3,4,7,7,11,10,9,8,15,13,13,9,2,,2,3,
2020-KW52,1,3,4,3,2,2,12,4,3,8,3,17,3,6,7,2,6,
2020-KW53,2,3,3,6,9,10,8,4,7,5,8,20,10,6,7,3,6,
2021-KW01,7,5,5,8,17,12,15,12,11,9,12,15,9,8,6,3,14,
2021-KW02,,2,3,7,10,8,11,8,3,8,9,3,5,8,4,,2,
2021-KW03,2,4,4,3,5,3,8,,5,3,5,7,2,3,2,2,2,
2021-KW04,,1,,,,1,3,2,2,2,6,6,4,1,1,3,9,
2021-KW05,,1,,4,4,8,6,4,6,4,8,6,5,2,2,2,5,
2021-KW06,2,1,2,3,6,2,8,5,2,4,7,4,4,2,1,1,12,
2021-KW07,2,,,5,8,8,4,2,,8,7,5,8,6,1,,,
2021-KW08,1,,5,1,10,3,9,6,6,5,8,6,2,2,1,1,4,
2021-KW09,1,1,1,2,8,4,2,8,4,2,8,5,2,2,1,1,,
2021-KW10,3,4,6,3,10,3,13,9,6,5,8,10,5,3,,2,3,
2021-KW11,,5,4,3,6,5,3,3,7,7,8,6,3,8,3,3,2,
2021-KW12,7,5,10,11,14,14,11,6,10,16,22,9,7,5,5,2,4,
2021-KW13,11,8,5,9,16,14,17,13,15,9,11,19,7,5,3,4,7,
2021-KW14,3,4,7,12,10,15,18,6,7,11,11,12,9,6,8,5,6,
2021-KW15,7,8,4,5,11,8,8,9,15,13,14,19,5,4,3,3,8,
2021-KW16,6,8,6,5,8,6,9,6,14,10,4,9,6,2,3,2,1,
2021-KW17,5,3,6,7,8,10,5,7,9,10,1,11,9,2,,2,2,
2021-KW18,5,8,6,12,11,12,8,14,6,11,14,8,9,2,3,4,8,
2021-KW19,8,9,9,8,9,1,10,9,4,11,8,5,8,5,4,4,2,
2021-KW20,4,7,8,6,10,9,11,3,13,8,3,3,4,3,,1,4,
2021-KW21,3,2,6,7,5,4,4,4,4,2,4,1,2,,2,1,2,
2021-KW22,2,6,5,9,6,5,4,3,4,2,1,2,1,1,,,1,
2021-KW23,2,7,5,1,5,3,3,4,1,,2,3,1,1,,2,1,
2021-KW24,1,2,1,1,2,3,1,,2,,3,1,1,,1,,,
2021-KW25,,,1,,,,,,1,1,,,,1,,1,,
2021-KW26,,,4,,,,1,1,,,,,,,,,,
2021-KW27,,,,,1,,,,,,,,,,,,,
2021-KW28,,,1,,1,,1,1,1,,1,,2,1,,,,
2021-KW29,,,1,9,,1,2,,,,,2,,1,,,,
