# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-02-28 07:45:54
# API-Download für Covid19-Fälle in SK Mainz, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,,,1,,1,,,
2020-KW11,,,,,,,2,3,,4,5,1,,1,,,,
2020-KW12,,,,1,9,16,15,4,4,2,8,2,2,,,,2,2
2020-KW13,,,,1,7,17,12,9,5,4,10,4,5,3,4,7,5,
2020-KW14,,1,,,9,7,6,7,6,7,8,11,9,4,1,3,3,1
2020-KW15,,,3,6,6,7,7,7,5,7,7,6,7,4,3,3,12,
2020-KW16,,1,,5,7,6,10,4,8,4,5,6,,4,2,3,10,1
2020-KW17,,1,,,4,2,4,3,6,3,2,2,4,1,3,3,21,2
2020-KW18,1,,1,1,2,3,2,3,,2,1,1,1,2,2,1,2,
2020-KW19,,2,1,,2,5,6,3,,4,2,4,1,1,2,,5,
2020-KW20,5,6,2,1,,4,2,,,1,,2,,,,,,
2020-KW21,1,1,,,1,1,1,3,,,1,,,,,,,
2020-KW22,2,4,5,3,11,11,3,2,,3,3,1,1,,,,1,1
2020-KW23,,1,1,1,3,4,2,1,2,1,1,,1,,,,,
2020-KW24,,,1,1,2,3,1,3,2,1,2,,,,,,,
2020-KW25,,,,,2,2,,1,,,1,,,,,,,
2020-KW26,,,,,1,,1,,,,,,,,,,,
2020-KW27,,,,,,,,,,1,2,,,,,,,
2020-KW28,,,,,,1,1,1,,,1,,,,,,,
2020-KW29,,1,,,,,,2,,,,1,,,,,,
2020-KW30,,,,2,1,1,1,1,,,2,2,,,1,2,,
2020-KW31,1,1,,1,3,1,1,,,,1,,1,,,,,
2020-KW32,,1,3,4,3,3,1,3,3,2,,,,,1,,,
2020-KW33,2,2,4,1,5,7,4,2,1,2,1,2,,1,,,,
2020-KW34,1,2,1,1,3,5,1,3,2,4,1,,1,,,,,
2020-KW35,,,1,,6,5,6,,4,1,,,,1,1,,,1
2020-KW36,1,,,5,10,8,4,4,3,1,,4,1,1,,,,
2020-KW37,1,3,4,,11,10,4,,5,6,4,5,3,1,1,,,
2020-KW38,1,1,4,5,5,8,7,3,1,4,3,2,3,1,2,2,,1
2020-KW39,,1,2,3,7,10,3,6,7,3,7,1,3,2,4,,,
2020-KW40,1,2,3,6,3,12,6,4,7,4,2,3,2,,4,1,1,
2020-KW41,3,1,6,10,26,16,16,6,12,13,4,4,10,3,,1,4,1
2020-KW42,5,4,6,9,27,21,23,15,18,10,3,9,5,3,2,3,5,1
2020-KW43,7,4,13,15,43,36,36,18,14,7,10,8,9,3,8,2,5,5
2020-KW44,4,9,7,14,36,57,35,23,25,30,23,21,14,5,3,7,9,3
2020-KW45,10,10,22,34,84,50,52,27,35,28,32,37,16,10,13,8,12,7
2020-KW46,6,12,17,31,69,47,45,26,31,38,27,31,25,14,9,7,29,6
2020-KW47,8,12,26,41,57,62,52,43,25,30,37,36,32,15,7,12,58,11
2020-KW48,6,8,10,13,45,33,28,24,33,35,24,20,15,13,11,9,72,2
2020-KW49,6,9,12,27,37,32,29,15,18,22,30,17,12,14,4,5,22,3
2020-KW50,11,20,13,18,43,49,33,34,26,35,31,23,21,15,11,16,30,5
2020-KW51,8,3,13,15,42,53,51,21,29,25,23,27,20,5,8,9,33,5
2020-KW52,3,10,9,12,24,30,28,25,15,19,21,23,16,8,8,4,18,3
2020-KW53,2,4,3,9,30,26,17,17,12,13,26,18,10,6,3,8,19,3
2021-KW01,6,4,6,20,25,45,33,23,26,26,22,19,17,12,8,8,30,5
2021-KW02,5,4,6,8,16,23,16,12,14,13,17,18,11,14,4,7,33,
