# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-06-07 07:00:31
# API-Download für Covid19-Fälle in SK Chemnitz, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,1,,,,,4,,3,1,,,2,,1,,,,
2020-KW12,,,1,1,7,6,1,3,5,3,6,9,,3,1,1,,
2020-KW13,,2,,1,6,4,4,4,3,4,6,5,5,4,3,,1,
2020-KW14,,1,,2,3,4,5,2,6,2,10,3,7,1,3,,7,
2020-KW15,,,,,3,2,,5,1,4,1,2,3,2,2,4,3,
2020-KW16,,,,,2,,,,3,2,4,1,1,1,,2,1,
2020-KW17,,,,,,,1,2,,,,,,,,,1,
2020-KW18,,,,,,,,1,,,,1,1,,1,1,,
2020-KW19,,,,,,,,1,1,,,,,,,,,
2020-KW20,,,,1,,,2,2,,,,,,,,,,
2020-KW21,,,,,,,,,,1,,,,,,,,
2020-KW22,,,,1,,,,1,,,,,,,,,,
2020-KW23,1,,,,,,,,,,,,,,,1,,
2020-KW24,,,,,,,,,,,,,,,,,1,
2020-KW25,,,1,,,,1,,,2,,,,,,,,
2020-KW26,,,,,,,1,2,,,,,,,1,,,
2020-KW29,,,,,,,,1,2,,,,,,,,,
2020-KW30,,,1,,1,,,1,,,,,,,,,,
2020-KW31,,4,,1,,,,,,1,,2,2,,,,1,
2020-KW32,,,,2,1,2,,,,1,,,,,,,,
2020-KW33,,,,4,,1,,,,,,,,,,,,
2020-KW34,,,1,1,,1,,1,,,,,,,,,,
2020-KW35,,,1,2,2,1,1,,,1,1,1,,,,,1,
2020-KW36,,,,1,1,2,,,1,1,,,,,1,1,2,
2020-KW37,,,1,1,1,,1,,1,1,,2,1,2,2,1,,
2020-KW38,,,,,4,4,1,2,2,,2,3,1,2,,,3,
2020-KW39,,,1,2,5,1,2,2,1,4,,2,1,,1,4,3,
2020-KW40,,,2,5,2,1,2,2,1,1,1,3,,,1,,1,
2020-KW41,,,1,4,4,8,8,5,3,5,1,6,4,3,3,3,5,
2020-KW42,,3,7,4,4,20,10,9,10,7,10,8,6,3,7,8,27,
2020-KW43,1,2,5,5,12,8,18,12,8,16,13,17,5,4,7,4,20,
2020-KW44,5,7,8,10,18,24,24,28,20,19,34,32,10,18,13,16,112,
2020-KW45,10,10,16,13,29,24,36,36,33,23,37,29,19,17,14,16,78,
2020-KW46,2,8,18,19,31,27,31,25,29,24,43,47,22,17,16,16,57,
2020-KW47,4,8,20,26,33,27,45,42,39,30,43,50,22,26,22,30,92,
2020-KW48,8,21,23,29,45,36,46,55,52,52,49,61,39,34,28,24,101,
2020-KW49,4,12,39,32,48,32,54,52,50,54,53,56,45,32,31,46,182,
2020-KW50,12,17,34,49,52,43,87,68,61,77,82,77,54,39,22,42,136,
2020-KW51,18,10,21,28,57,68,92,70,61,68,85,79,69,57,31,56,187,
2020-KW52,11,17,11,40,71,83,109,101,93,84,110,132,80,61,43,66,255,
2020-KW53,4,6,13,30,44,41,82,52,53,42,59,70,47,26,24,37,59,
2021-KW01,8,6,4,23,57,57,68,47,49,44,64,59,35,32,25,36,86,
2021-KW02,3,2,1,10,23,20,36,34,16,28,24,33,24,22,18,13,41,
2021-KW03,1,1,4,11,16,18,21,9,20,17,12,29,20,14,6,7,29,
2021-KW04,1,2,1,7,16,16,23,11,10,12,16,20,14,5,9,9,28,
2021-KW05,1,,1,11,7,6,11,7,8,16,14,14,5,7,9,10,38,
2021-KW06,1,1,4,4,7,10,15,7,9,11,6,12,5,8,1,6,26,
2021-KW07,1,2,1,4,3,10,17,2,5,11,7,12,3,6,8,5,20,
2021-KW08,17,5,1,10,12,10,19,14,11,11,15,13,11,8,2,3,20,
2021-KW09,13,21,6,4,7,11,31,27,14,13,23,19,8,13,7,5,7,
2021-KW10,15,16,11,7,17,16,36,27,26,17,35,22,20,9,12,5,16,
2021-KW11,15,20,13,15,26,21,39,37,47,29,44,38,16,10,11,10,10,
2021-KW12,38,90,54,46,41,57,79,113,76,56,45,44,44,26,18,19,27,
2021-KW13,19,78,33,26,51,43,82,81,73,52,64,68,49,20,23,22,27,
2021-KW14,12,18,22,25,29,36,66,75,62,52,60,60,48,44,29,32,29,
2021-KW15,23,41,59,58,42,44,73,54,61,44,48,64,53,29,33,34,43,
2021-KW16,25,55,58,46,51,34,61,66,64,61,70,51,54,27,29,24,24,
2021-KW17,23,41,34,49,42,40,67,68,51,53,59,68,36,27,20,16,21,
2021-KW18,11,37,27,18,25,33,51,51,33,34,29,56,21,27,17,14,21,
2021-KW19,8,16,18,14,17,5,37,24,26,25,14,26,15,22,10,10,16,
2021-KW20,1,8,12,12,11,9,14,15,14,9,10,15,6,7,4,6,9,
2021-KW21,3,4,8,5,6,2,12,6,5,5,1,6,5,3,1,2,5,
2021-KW22,3,,3,4,2,1,7,5,5,5,2,2,2,3,2,2,,
