# Quelle: Robert Koch-Institut, SurvStat@RKI 2.0, https://survstat.rki.de
# Abfragezeitpunkt: 2020-12-21 09:50:48
# API-Download für Covid19-Fälle in Saarland, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW05,,,,,,1,,,,,,,,,,,,
2020-KW09,,,,1,,1,,,,,,,,,,,,
2020-KW10,,,,,,,,,,,1,,,,,,,
2020-KW11,1,,,1,1,8,8,4,7,12,20,5,5,2,1,,1,
2020-KW12,1,1,2,5,17,32,21,21,21,29,36,32,15,5,4,7,7,
2020-KW13,1,1,4,3,25,24,41,27,31,36,53,56,28,20,14,23,30,
2020-KW14,6,5,5,20,39,70,48,49,51,44,72,63,61,32,22,37,148,
2020-KW15,6,7,6,13,42,36,33,22,25,37,45,67,35,24,21,38,113,
2020-KW16,,2,2,10,18,11,13,13,12,12,15,17,17,9,13,11,38,
2020-KW17,,2,1,5,10,5,14,6,3,6,9,16,6,13,11,10,53,
2020-KW18,1,1,2,3,5,5,8,3,3,3,9,5,4,9,6,4,14,
2020-KW19,,1,,2,4,4,4,,1,4,2,2,4,3,3,,6,
2020-KW20,1,1,,,1,2,1,2,,,4,5,2,1,1,3,8,
2020-KW21,,,,,,2,,,1,1,3,2,,4,3,2,3,
2020-KW22,,,,1,,,,2,1,1,1,4,3,3,,,8,
2020-KW23,2,,,,1,,,,,,4,2,1,4,2,1,6,
2020-KW24,1,,,1,3,2,2,1,2,1,2,2,2,,,1,3,
2020-KW25,,,,,,,,,,,,,,1,1,1,4,
2020-KW26,,,,,,1,,,,,,,1,1,,1,3,
2020-KW27,,,,,,1,,1,,,,1,,,,,,
2020-KW28,1,,,,3,,1,,,,2,,2,1,,2,1,
2020-KW29,1,2,,1,1,,2,2,2,2,2,,,1,,,,
2020-KW30,2,,,4,1,7,1,1,,3,3,,,1,1,,,
2020-KW31,3,,,4,10,5,4,1,2,2,1,,,,1,,,
2020-KW32,1,,2,4,5,9,1,3,6,2,2,2,,1,,,,
2020-KW33,4,3,5,11,6,4,10,8,4,3,6,6,2,2,,1,,
2020-KW34,,5,13,6,7,6,8,7,4,5,3,4,2,1,1,1,,
2020-KW35,3,6,3,6,9,16,4,5,5,6,6,1,1,1,,,,
2020-KW36,2,,1,9,7,4,1,4,4,1,4,4,1,1,2,,2,
2020-KW37,3,1,5,1,9,7,5,2,4,,,4,2,1,,,1,
2020-KW38,3,2,11,5,5,6,,5,9,4,1,2,2,4,3,,1,
2020-KW39,1,2,2,6,4,3,9,8,6,6,3,5,4,,3,,2,
2020-KW40,6,4,6,23,10,19,14,7,7,11,16,9,5,4,3,1,1,
2020-KW41,13,4,8,27,47,27,27,18,20,21,26,13,26,10,8,2,4,
2020-KW42,20,24,30,42,72,64,60,39,34,59,53,42,43,26,15,15,34,
2020-KW43,19,22,31,54,77,107,82,65,75,89,83,98,77,47,45,19,47,
2020-KW44,41,38,63,107,137,139,148,107,93,91,126,137,121,74,62,61,115,1
2020-KW45,43,46,79,114,138,136,123,109,109,114,138,131,101,61,45,36,100,5
2020-KW46,38,53,73,108,132,93,113,126,93,119,128,118,90,51,50,46,149,
2020-KW47,33,31,62,65,84,77,91,82,91,93,96,104,89,44,35,38,140,
2020-KW48,25,51,55,75,97,84,77,78,87,94,88,74,65,26,42,45,153,
2020-KW49,25,40,56,72,88,101,105,100,90,71,112,122,92,60,38,38,154,
2020-KW50,49,38,82,105,111,124,128,117,116,120,175,173,146,95,77,55,214,
2020-KW51,41,48,58,85,111,104,131,89,95,103,122,143,103,61,62,56,228,1
